DAY,O3
23-Nov-21,8
24-Nov-21,14
25-Nov-21,28
26-Nov-21,9
27-Nov-21,9
28-Nov-21,21
29-Nov-21,11
30-Nov-21,18
1-Dec-21,6
2-Dec-21,2
3-Dec-21,14
4-Dec-21,11
5-Dec-21,2
6-Dec-21,17
7-Dec-21,17
8-Dec-21,4
9-Dec-21,15
10-Dec-21,21
11-Dec-21,42
12-Dec-21,6
13-Dec-21,2
14-Dec-21,6
15-Dec-21,15
16-Dec-21,12
17-Dec-21,2
18-Dec-21,20
19-Dec-21,17
20-Dec-21,3
21-Dec-21,16
22-Dec-21,13
23-Dec-21,17
24-Dec-21,2
25-Dec-21,2
26-Dec-21,1
27-Dec-21,4
28-Dec-21,14
29-Dec-21,4
30-Dec-21,5
31-Dec-21,16
