DAY,S02
3-Apr-19,4
4-Apr-19,5
5-Apr-19,6
6-Apr-19,5
7-Apr-19,5
8-Apr-19,6
9-Apr-19,6
10-Apr-19,6
11-Apr-19,5
12-Apr-19,6
13-Apr-19,7
14-Apr-19,8
15-Apr-19,7
16-Apr-19,4
17-Apr-19,7
18-Apr-19,5
19-Apr-19,4
20-Apr-19,6
21-Apr-19,6
22-Apr-19,8
23-Apr-19,7
24-Apr-19,7
25-Apr-19,7
26-Apr-19,7
27-Apr-19,7
28-Apr-19,7
29-Apr-19,7
30-Apr-19,8
1-May-19,8
2-May-19,8
3-May-19,8
4-May-19,8
5-May-19,8
6-May-19,8
7-May-19,8
8-May-19,7
9-May-19,8
10-May-19,8
11-May-19,8
12-May-19,8
13-May-19,8
14-May-19,8
15-May-19,9
16-May-19,8
17-May-19,7
18-May-19,7
19-May-19,6
20-May-19,7
21-May-19,8
22-May-19,8
23-May-19,8
24-May-19,7
25-May-19,7
26-May-19,8
27-May-19,8
28-May-19,8
29-May-19,8
30-May-19,8
31-May-19,9
1-Jun-19,8
2-Jun-19,8
3-Jun-19,9
4-Jun-19,10
5-Jun-19,9
6-Jun-19,10
7-Jun-19,10
8-Jun-19,9
9-Jun-19,9
10-Jun-19,8
11-Jun-19,9
12-Jun-19,11
13-Jun-19,11
14-Jun-19,12
15-Jun-19,10
16-Jun-19,10
17-Jun-19,10
18-Jun-19,11
19-Jun-19,12
20-Jun-19,11
21-Jun-19,12
22-Jun-19,11
23-Jun-19,11
24-Jun-19,12
25-Jun-19,10
26-Jun-19,9
27-Jun-19,10
28-Jun-19,10
29-Jun-19,10
30-Jun-19,9
1-Jul-19,9
2-Jul-19,10
3-Jul-19,12
4-Jul-19,10
5-Jul-19,11
6-Jul-19,12
7-Jul-19,12
8-Jul-19,14
9-Jul-19,16
10-Jul-19,16
11-Jul-19,15
12-Jul-19,14
13-Jul-19,15
14-Jul-19,15
15-Jul-19,2
16-Jul-19,4
17-Jul-19,4
18-Jul-19,4
19-Jul-19,4
20-Jul-19,3
21-Jul-19,3
22-Jul-19,3
23-Jul-19,4
24-Jul-19,4
25-Jul-19,4
26-Jul-19,4
27-Jul-19,5
28-Jul-19,6
29-Jul-19,7
30-Jul-19,8
31-Jul-19,6
1-Aug-19,6
2-Aug-19,5
3-Aug-19,7
4-Aug-19,6
5-Aug-19,6
6-Aug-19,5
7-Aug-19,5
8-Aug-19,6
9-Aug-19,7
10-Aug-19,5
11-Aug-19,5
12-Aug-19,5
13-Aug-19,6
14-Aug-19,7
15-Aug-19,7
16-Aug-19,7
17-Aug-19,6
18-Aug-19,5
19-Aug-19,6
20-Aug-19,5
21-Aug-19,6
22-Aug-19,7
23-Aug-19,7
24-Aug-19,7
25-Aug-19,7
26-Aug-19,7
27-Aug-19,7
28-Aug-19,7
29-Aug-19,7
30-Aug-19,7
31-Aug-19,7
1-Sep-19,8
2-Sep-19,8
3-Sep-19,5
4-Sep-19,4
5-Sep-19,4
6-Sep-19,4
7-Sep-19,4
8-Sep-19,4
9-Sep-19,5
10-Sep-19,5
11-Sep-19,5
12-Sep-19,4
13-Sep-19,4
14-Sep-19,4
15-Sep-19,4
16-Sep-19,5
17-Sep-19,8
18-Sep-19,9
19-Sep-19,8
20-Sep-19,6
21-Sep-19,5
22-Sep-19,5
23-Sep-19,9
24-Sep-19,9
25-Sep-19,8
26-Sep-19,9
27-Sep-19,8
28-Sep-19,7
29-Sep-19,9
30-Sep-19,11
1-Oct-19,11
2-Oct-19,10
3-Oct-19,10
4-Oct-19,9
5-Oct-19,10
6-Oct-19,11
7-Oct-19,8
8-Oct-19,8
9-Oct-19,8
10-Oct-19,10
11-Oct-19,12
12-Oct-19,8
13-Oct-19,8
14-Oct-19,10
15-Oct-19,12
16-Oct-19,13
17-Oct-19,12
18-Oct-19,12
19-Oct-19,12
20-Oct-19,12
21-Oct-19,11
22-Oct-19,12
23-Oct-19,10
24-Oct-19,11
25-Oct-19,13
26-Oct-19,12
27-Oct-19,12
28-Oct-19,13
29-Oct-19,13
30-Oct-19,15
31-Oct-19,13
1-Nov-19,11
2-Nov-19,11
3-Nov-19,13
4-Nov-19,12
5-Nov-19,14
6-Nov-19,14
7-Nov-19,13
8-Nov-19,13
9-Nov-19,14
10-Nov-19,12
11-Nov-19,14
12-Nov-19,13
13-Nov-19,9
14-Nov-19,8
15-Nov-19,10
16-Nov-19,9
17-Nov-19,7
18-Nov-19,7
19-Nov-19,6
20-Nov-19,6
21-Nov-19,6
22-Nov-19,8
23-Nov-19,7
24-Nov-19,6
25-Nov-19,8
26-Nov-19,9
27-Nov-19,9
28-Nov-19,10
29-Nov-19,8
