DAY,NO20,NOMEAN,NOMIN,NOMAX,NO220,NO2MEAN,NO2MIN,NO2MAX,O320,O3MEAN,O3MIN,O3MAX,PM2520,PM25MEAN,PM25MIN,PM25MAX
7-May,1.50,2.53,1.08,5.13,6.63,7.53,5.96,9.17,87.08,74.82,15.96,115.96,8.63,26.92,5.13,87.08
8-May,1.25,2.88,1.25,5.25,3.88,9.08,5.33,15.08,103.92,47.08,9.83,119.25,7.83,32.19,3.88,103.92
9-May,2.08,2.94,1.38,5.29,9.75,7.60,4.46,11.38,119.00,35.93,1.28,93.63,11.54,35.40,4.46,119.00
10-May,1.29,2.86,1.25,5.75,6.54,8.31,8.00,8.50,109.67,101.45,95.88,111.63,10.29,32.77,5.75,109.67
11-May,3.08,2.65,1.00,5.79,15.79,7.97,2.38,13.50,99.71,67.48,17.13,117.83,10.08,30.89,2.38,99.71
12-May,2.00,3.14,1.00,7.04,16.58,9.18,1.88,19.75,100.00,69.01,12.73,114.79,11.83,32.57,1.88,100.00
13-May,2.13,2.53,1.00,5.25,16.13,8.19,5.88,10.92,110.04,99.52,89.25,119.88,12.21,33.77,5.25,110.04
14-May,2.13,4.02,1.92,6.13,16.29,13.53,10.64,15.38,123.17,74.61,15.78,99.38,12.58,39.08,6.13,123.17
15-May,2.33,4.10,1.92,6.29,25.46,11.50,9.67,13.38,110.96,57.46,8.79,112.28,18.83,35.96,6.29,110.96
16-May,1.13,3.71,2.58,4.83,4.42,12.93,6.88,20.67,98.17,75.55,13.17,111.92,18.17,32.63,4.42,98.17
17-May,1.22,3.27,1.50,5.04,6.61,12.11,8.92,17.33,125.91,49.03,9.38,87.83,21.30,39.11,5.04,125.91
18-May,1.58,3.50,1.92,5.08,4.96,9.01,6.17,11.42,99.88,54.00,11.38,96.28,24.17,30.64,4.96,99.88
19-May,1.50,3.83,1.08,6.58,5.58,7.00,3.92,12.79,100.04,85.75,17.13,116.50,23.04,30.63,3.92,100.04
20-May,2.13,4.69,1.00,8.38,10.50,17.82,2.83,29.63,101.08,48.15,11.50,89.28,26.38,35.86,2.83,101.08
21-May,1.83,3.19,1.00,5.38,6.88,9.89,2.58,23.42,96.42,98.99,87.46,121.63,11.17,32.15,2.58,96.42
22-May,1.21,3.17,1.38,4.96,3.42,10.90,3.00,21.92,79.50,62.26,13.00,127.46,6.67,27.50,3.00,79.50
23-May,1.25,2.90,1.04,4.75,3.46,8.13,3.25,16.92,97.00,85.84,11.78,117.00,7.92,30.52,3.25,97.00
24-May,2.25,3.15,1.46,4.83,10.83,11.82,9.33,13.33,100.25,57.71,11.29,111.79,9.67,31.91,4.83,100.25
25-May,1.29,2.90,1.00,4.79,3.75,5.18,2.04,9.21,93.13,81.26,11.29,116.54,11.08,27.08,2.04,93.13
26-May,1.13,3.02,1.00,5.04,2.38,5.15,2.21,7.42,90.29,113.52,94.00,132.67,7.83,25.90,2.21,90.29
27-May,1.00,2.93,1.00,4.87,2.00,5.55,2.00,8.88,91.67,68.27,16.92,123.57,5.83,26.54,2.00,91.67
28-May,1.63,2.98,1.00,4.96,5.33,7.13,2.25,10.25,83.29,87.21,13.46,121.63,6.21,25.18,2.25,83.29
29-May,1.87,2.98,1.00,4.96,9.83,9.32,2.71,13.29,78.39,79.39,11.42,114.83,7.00,25.27,2.71,78.39
30-May,1.33,3.40,1.00,5.79,6.67,12.26,1.92,19.25,93.38,56.44,1.00,115.46,8.25,30.30,1.92,93.38
31-May,1.38,2.98,1.00,4.96,7.33,10.88,1.83,21.42,91.38,80.61,14.38,122.13,9.13,30.22,1.83,91.38
