DAY,O3,CO,NO,NO2
5-Jul-21,81,0.55,2,17
6-Jul-21,61,0.50,7,28
7-Jul-21,74,1.00,4,20
8-Jul-21,88,0.62,1,6
9-Jul-21,94,0.49,1,4
10-Jul-21,106,0.51,1,4
11-Jul-21,101,0.58,1,3
12-Jul-21,78,0.56,2,5
13-Jul-21,78,0.62,3,5
14-Jul-21,89,0.53,2,5
15-Jul-21,96,0.22,2,4
16-Jul-21,74,0.36,4,6
17-Jul-21,89,0.52,2,5
18-Jul-21,91,0.72,2,4
19-Jul-21,74,0.48,1,5
20-Jul-21,68,0.35,1,4
21-Jul-21,68,0.60,2,4
22-Jul-21,94,0.35,0,0
23-Jul-21,93,0.18,0,0
24-Jul-21,96,0.16,0,0
25-Jul-21,106,0.16,0,0
26-Jul-21,108,0.23,1,7
27-Jul-21,97,0.44,3,17
28-Jul-21,117,0.25,1,13
29-Jul-21,91,0.38,4,40
30-Jul-21,83,0.45,7,53
31-Jul-21,75,0.52,9,56
1-Aug-21,82,0.45,5,47
2-Aug-21,84,0.50,11,63
3-Aug-21,44,0.72,30,76
4-Aug-21,64,0.00,15,76
5-Aug-21,47,0.00,30,69
6-Aug-21,58,0.00,15,39
7-Aug-21,89,0.00,2,9
8-Aug-21,81,0.00,2,26
9-Aug-21,89,0.00,2,33
10-Aug-21,73,0.00,10,54
11-Aug-21,62,0.00,7,52
12-Aug-21,98,0.00,2,12
13-Aug-21,102,0.00,2,12
14-Aug-21,110,0.00,1,5
15-Aug-21,112,0.00,1,4
16-Aug-21,104,0.00,1,10
17-Aug-21,95,0.00,6,31
18-Aug-21,74,0.00,9,42
19-Aug-21,89,0.00,1,21
20-Aug-21,118,0.00,1,7
21-Aug-21,105,0.00,1,9
22-Aug-21,98,0.00,1,10
23-Aug-21,100,0.00,2,11
24-Aug-21,97,0.00,1,13
25-Aug-21,88,0.00,5,32
26-Aug-21,64,0.00,12,45
27-Aug-21,59,0.00,5,36
28-Aug-21,78,0.00,2,25
29-Aug-21,85,0.00,1,14
30-Aug-21,86,0.00,2,28
31-Aug-21,87,0.00,3,29
1-Sep-21,89,0.00,5,31
2-Sep-21,91,0.00,1,13
3-Sep-21,83,0.00,2,18
4-Sep-21,93,0.00,1,12
5-Sep-21,101,0.00,1,9
6-Sep-21,94,0.00,1,10
7-Sep-21,93,0.00,2,8
8-Sep-21,70,0.00,2,15
9-Sep-21,62,0.00,3,18
10-Sep-21,71,0.00,2,22
11-Sep-21,68,0.00,9,29
12-Sep-21,106,0.00,1,15
13-Sep-21,103,0.00,2,16
14-Sep-21,98,0.00,3,24
15-Sep-21,76,0.00,12,46
16-Sep-21,69,0.00,18,54
17-Sep-21,57,0.00,24,55
18-Sep-21,52,0.00,15,40
19-Sep-21,46,0.00,10,41
20-Sep-21,40,0.00,26,43
21-Sep-21,64,0.00,11,34
22-Sep-21,78,0.00,2,18
23-Sep-21,74,0.00,2,12
24-Sep-21,61,0.00,12,35
25-Sep-21,54,0.00,18,45
26-Sep-21,65,0.00,6,33
27-Sep-21,55,0.00,16,47
28-Sep-21,88,0.00,1,17
29-Sep-21,81,0.00,1,8
30-Sep-21,86,0.00,1,6
1-Oct-21,83,0.00,1,5
2-Oct-21,88,0.00,1,4
3-Oct-21,83,0.00,0,0
4-Oct-21,64,0.00,0,0
5-Oct-21,65,0.00,0,0
6-Oct-21,85,0.00,0,0
7-Oct-21,75,0.00,0,0
8-Oct-21,26,0.00,0,0
9-Oct-21,53,0.00,0,0
10-Oct-21,39,0.00,0,0
11-Oct-21,34,0.00,0,0
12-Oct-21,23,0.00,0,0
13-Oct-21,35,0.00,0,0
14-Oct-21,28,0.00,0,0
15-Oct-21,0,0.00,0,0
16-Oct-21,0,0.00,0,0
17-Oct-21,0,0.00,0,0
18-Oct-21,0,0.00,0,0
19-Oct-21,0,0.00,0,0
20-Oct-21,0,0.00,0,0
21-Oct-21,0,0.00,0,0
22-Oct-21,0,0.00,0,0
23-Oct-21,0,0.00,0,0
24-Oct-21,0,0.00,0,0
25-Oct-21,0,0.00,0,0
26-Oct-21,0,0.00,0,0
27-Oct-21,73,0.29,0,0
28-Oct-21,70,0.25,1,7
29-Oct-21,68,0.30,0,0
30-Oct-21,51,0.39,0,0
31-Oct-21,62,0.32,0,0
1-Nov-21,31,0.79,0,0
2-Nov-21,25,0.60,9,23
3-Nov-21,24,0.89,40,25
4-Nov-21,23,0.88,35,22
5-Nov-21,18,0.63,19,22
6-Nov-21,11,1.04,33,31
7-Nov-21,25,0.65,16,16
8-Nov-21,25,0.58,17,21
9-Nov-21,28,0.49,9,17
10-Nov-21,61,0.24,1,5
11-Nov-21,47,0.32,4,15
12-Nov-21,26,0.55,20,26
13-Nov-21,27,0.62,13,29
14-Nov-21,28,0.55,5,23
15-Nov-21,63,0.33,1,9
16-Nov-21,69,0.26,1,7
17-Nov-21,54,0.28,1,9
18-Nov-21,26,0.51,8,25
19-Nov-21,32,0.43,4,16
20-Nov-21,51,0.34,2,10
21-Nov-21,34,0.60,16,20
22-Nov-21,36,0.90,44,20
23-Nov-21,33,0.69,35,20
24-Nov-21,34,0.32,3,11
25-Nov-21,40,0.38,3,15
26-Nov-21,11,1.34,73,29
27-Nov-21,34,0.98,48,17
28-Nov-21,54,0.34,8,11
29-Nov-21,50,0.26,3,14
30-Nov-21,57,0.28,3,11
1-Dec-21,32,0.47,17,21
2-Dec-21,28,1.33,90,29
3-Dec-21,42,0.87,63,20
4-Dec-21,32,0.50,12,22
5-Dec-21,20,0.76,24,22
6-Dec-21,47,1.00,64,17
7-Dec-21,55,0.31,3,15
8-Dec-21,30,0.51,19,17
9-Dec-21,54,0.52,41,17
10-Dec-21,64,0.25,3,15
11-Dec-21,77,0.29,3,9
12-Dec-21,49,0.37,11,18
13-Dec-21,22,0.67,25,23
14-Dec-21,28,0.36,5,13
15-Dec-21,32,0.40,4,15
16-Dec-21,19,0.75,46,30
17-Dec-21,19,0.81,40,32
18-Dec-21,50,0.23,1,7
19-Dec-21,44,0.30,4,10
20-Dec-21,14,1.48,122,39
21-Dec-21,22,0.54,34,28
22-Dec-21,27,0.41,9,25
23-Dec-21,24,0.55,24,29
24-Dec-21,15,0.80,53,32
25-Dec-21,19,1.15,56,29
26-Dec-21,19,1.30,56,25
27-Dec-21,24,0.76,49,24
28-Dec-21,44,0.20,2,10
29-Dec-21,13,0.68,37,25
30-Dec-21,23,0.66,25,15
31-Dec-21,36,0.38,6,12
