DAY,O3,CO,NO,NO2,SO2
30-Jun-21,80,0,15,40,0
1-Jul-21,54,0,21,43,0
2-Jul-21,74,0,10,30,0
3-Jul-21,79,0,9,25,0
4-Jul-21,92,0,6,19,0
5-Jul-21,77,0,11,27,0
6-Jul-21,57,0,19,40,0
7-Jul-21,52,0,23,39,0
8-Jul-21,58,0,13,23,0
9-Jul-21,64,0,12,24,0
10-Jul-21,71,0,14,26,0
11-Jul-21,73,0,10,23,0
12-Jul-21,52,0,18,38,0
13-Jul-21,48,0,24,45,0
14-Jul-21,61,0,19,44,0
15-Jul-21,67,0,15,37,0
16-Jul-21,58,0,21,50,0
17-Jul-21,83,0,9,33,0
18-Jul-21,94,0,7,22,0
19-Jul-21,73,0,9,22,0
20-Jul-21,67,0,10,22,0
21-Jul-21,68,0,13,31,0
22-Jul-21,67,0,12,25,0
23-Jul-21,59,0,15,29,0
24-Jul-21,64,0,15,30,0
25-Jul-21,77,0,11,23,0
26-Jul-21,77,0,14,34,0
27-Jul-21,70,0,18,44,0
28-Jul-21,71,0,19,45,0
29-Jul-21,54,0,35,63,0
30-Jul-21,63,0,47,68,0
31-Jul-21,58,0,53,64,0
1-Aug-21,66,0,34,54,0
2-Aug-21,8,0,55,62,0
3-Aug-21,0,0,0,0,0
4-Aug-21,0,0,0,0,0
5-Aug-21,0,0,0,0,0
6-Aug-21,0,0,0,0,0
7-Aug-21,0,0,0,0,0
8-Aug-21,0,0,0,0,0
9-Aug-21,0,0,0,0,0
10-Aug-21,0,0,0,0,0
11-Aug-21,0,0,0,0,0
12-Aug-21,0,0,0,0,0
13-Aug-21,0,0,0,0,0
14-Aug-21,0,0,0,0,0
15-Aug-21,0,0,0,0,0
16-Aug-21,0,0,0,0,0
17-Aug-21,0,0,0,0,0
18-Aug-21,0,0,0,0,0
19-Aug-21,0,0,0,0,0
20-Aug-21,0,0,0,0,0
21-Aug-21,0,0,0,0,0
22-Aug-21,0,0,0,0,0
23-Aug-21,0,0,0,0,0
24-Aug-21,0,0,0,0,0
25-Aug-21,0,0,0,0,0
26-Aug-21,0,0,0,0,0
27-Aug-21,0,0,0,0,0
28-Aug-21,0,0,0,0,0
29-Aug-21,0,0,0,0,0
30-Aug-21,0,0,0,0,0
31-Aug-21,0,0,0,0,0
1-Sep-21,0,0,0,0,0
2-Sep-21,0,0,0,0,0
3-Sep-21,0,0,0,0,0
4-Sep-21,0,0,0,0,0
5-Sep-21,0,0,0,0,0
6-Sep-21,0,0,0,0,0
7-Sep-21,0,0,0,0,0
8-Sep-21,0,0,0,0,0
9-Sep-21,0,0,0,0,0
10-Sep-21,0,0,0,0,0
11-Sep-21,0,0,0,0,0
12-Sep-21,0,0,0,0,0
13-Sep-21,58,0,0,0,0
14-Sep-21,51,0,31,67,0
15-Sep-21,50,0,42,66,0
16-Sep-21,53,0,46,61,0
17-Sep-21,48,0,35,55,0
18-Sep-21,43,0,23,42,0
19-Sep-21,39,0,23,38,0
20-Sep-21,35,0,31,42,0
21-Sep-21,48,0,22,40,0
22-Sep-21,51,0,13,32,0
23-Sep-21,52,0,16,25,0
24-Sep-21,53,0,24,39,0
25-Sep-21,42,0,59,56,0
26-Sep-21,40,0,60,53,0
27-Sep-21,37,0,73,62,0
28-Sep-21,43,0,24,46,0
29-Sep-21,53,0,18,25,0
30-Sep-21,55,0,16,27,0
1-Oct-21,53,0,20,27,0
2-Oct-21,52,0,20,30,0
3-Oct-21,55,0,14,26,0
4-Oct-21,42,0,28,39,0
5-Oct-21,45,0,26,39,0
6-Oct-21,56,0,18,30,0
7-Oct-21,55,0,16,29,0
8-Oct-21,20,0,32,50,0
9-Oct-21,35,0,26,35,0
10-Oct-21,26,0,25,33,0
11-Oct-21,31,0,30,28,0
12-Oct-21,22,0,39,32,0
13-Oct-21,35,0,42,32,0
14-Oct-21,23,0,35,37,0
15-Oct-21,53,0,20,25,0
16-Oct-21,48,0,20,27,0
17-Oct-21,23,0,22,29,0
18-Oct-21,27,0,23,29,0
19-Oct-21,27,0,31,35,0
20-Oct-21,26,0,29,39,0
21-Oct-21,37,0,47,36,0
22-Oct-21,33,0,54,41,0
23-Oct-21,25,0,57,38,0
24-Oct-21,25,0,54,26,0
25-Oct-21,52,0,16,21,0
26-Oct-21,40,0,21,26,0
27-Oct-21,34,0,33,33,0
28-Oct-21,51,0,17,25,0
29-Oct-21,47,0,21,30,0
30-Oct-21,31,0,27,44,0
31-Oct-21,41,0,17,32,0
1-Nov-21,29,0,43,48,10
2-Nov-21,31,0,27,36,4
3-Nov-21,22,0,66,41,0
4-Nov-21,23,0,56,34,0
5-Nov-21,19,0.63,39,34,9
6-Nov-21,14,0.67,55,50,15
7-Nov-21,20,0.46,50,33,11
8-Nov-21,26,0.43,49,32,8
9-Nov-21,19,0.31,34,33,7
10-Nov-21,45,0.12,18,19,5
11-Nov-21,37,0.37,24,33,6
12-Nov-21,26,0.6,36,43,7
13-Nov-21,23,0.63,64,47,11
14-Nov-21,25,0.54,29,41,6
15-Nov-21,44,0.31,19,31,6
16-Nov-21,55,0.26,18,24,6
17-Nov-21,46,0.28,15,23,5
18-Nov-21,29,0.52,25,38,7
19-Nov-21,27,0.35,24,32,6
20-Nov-21,27,0.28,28,37,7
21-Nov-21,22,0.72,56,42,8
22-Nov-21,32,0.96,88,36,8
23-Nov-21,35,0.51,43,31,6
24-Nov-21,26,0.18,27,27,6
25-Nov-21,34,0.35,21,28,6
26-Nov-21,14,1.52,105,39,9
27-Nov-21,36,0.52,45,32,7
28-Nov-21,51,0.18,27,25,6
29-Nov-21,64,0.1,8,17,6
30-Nov-21,61,0.11,11,19,7
1-Dec-21,34,0.33,27,35,10
2-Dec-21,30,0.94,77,42,9
3-Dec-21,43,0.59,41,31,8
4-Dec-21,30,0.25,30,36,8
5-Dec-21,21,0.55,52,35,9
6-Dec-21,50,0.58,59,25,8
7-Dec-21,55,0.19,15,28,8
8-Dec-21,29,0.25,31,30,12
9-Dec-21,50,0.71,55,28,9
10-Dec-21,67,0.12,11,24,8
11-Dec-21,80,0.26,10,15,8
12-Dec-21,48,0.2,20,31,8
13-Dec-21,22,0.32,36,39,10
14-Dec-21,25,0.18,22,26,9
15-Dec-21,27,0.35,25,30,9
16-Dec-21,19,0.46,52,46,10
17-Dec-21,16,0.5,58,52,11
18-Dec-21,38,0.26,24,28,8
19-Dec-21,39,0.15,24,35,8
20-Dec-21,11,1.08,122,62,12
21-Dec-21,23,0.35,34,47,10
22-Dec-21,25,0.45,30,47,10
23-Dec-21,25,0.55,45,50,10
24-Dec-21,18,1.05,107,54,12
25-Dec-21,26,0.61,56,48,11
26-Dec-21,28,0.8,92,39,10
27-Dec-21,40,0.17,22,33,9
28-Dec-21,50,0.19,15,23,9
29-Dec-21,16,0.48,61,40,10
30-Dec-21,15,0.34,50,35,10
31-Dec-21,26,0.46,37,32,10
