DAY,O3,SO2,NO,NO2,PM25,PM10
26-Oct-21,0,0,1,3,8,11
27-Oct-21,0,0,2,6,9,12
28-Oct-21,0,0,1,2,9,12
29-Oct-21,59,0,1,3,12,15
30-Oct-21,63,0,1,5,10,13
31-Oct-21,56,0,1,7,16,19
1-Nov-21,34,15,3,15,22,27
2-Nov-21,15,17,1,11,19,24
3-Nov-21,0,14,3,14,12,17
4-Nov-21,0,13,5,19,20,24
5-Nov-21,0,12,6,19,31,37
6-Nov-21,0,14,8,13,31,35
7-Nov-21,23,12,3,11,22,27
8-Nov-21,21,15,3,15,28,36
9-Nov-21,23,13,2,11,29,38
10-Nov-21,54,11,1,4,9,15
11-Nov-21,62,10,1,5,6,11
12-Nov-21,47,13,4,14,16,20
13-Nov-21,28,12,4,17,30,33
14-Nov-21,24,14,2,15,39,41
15-Nov-21,40,14,2,12,32,36
16-Nov-21,64,17,1,6,17,22
17-Nov-21,45,17,1,10,14,18
18-Nov-21,24,14,4,17,24,29
19-Nov-21,28,13,2,11,16,19
20-Nov-21,32,14,3,13,22,23
21-Nov-21,24,12,7,18,33,33
22-Nov-21,25,13,6,14,27,26
23-Nov-21,27,13,2,13,17,18
24-Nov-21,40,11,1,7,9,13
25-Nov-21,44,20,1,11,10,14
26-Nov-21,44,11,2,11,14,12
27-Nov-21,65,14,1,6,8,11
28-Nov-21,73,13,1,3,8,16
29-Nov-21,75,15,1,4,17,51
30-Nov-21,63,13,1,8,6,9
1-Dec-21,26,12,8,21,24,29
2-Dec-21,36,13,5,14,25,25
3-Dec-21,66,12,1,7,8,11
4-Dec-21,35,14,2,10,15,0
5-Dec-21,24,12,3,13,23,0
6-Dec-21,78,12,1,4,5,0
7-Dec-21,56,14,2,12,12,0
8-Dec-21,26,14,5,17,16,0
9-Dec-21,45,13,4,11,16,0
10-Dec-21,72,13,1,7,8,0
11-Dec-21,78,12,1,3,4,0
12-Dec-21,0,12,1,7,10,0
13-Dec-21,0,12,1,7,8,0
14-Dec-21,0,14,2,7,6,0
15-Dec-21,0,14,1,4,0,0
16-Dec-21,0,12,5,18,0,0
17-Dec-21,0,14,2,10,0,0
18-Dec-21,0,10,1,5,0,0
19-Dec-21,0,14,1,4,0,0
20-Dec-21,0,12,8,22,0,0
21-Dec-21,0,14,1,9,0,0
22-Dec-21,0,11,5,16,0,0
23-Dec-21,0,14,4,8,0,0
24-Dec-21,0,11,9,24,0,0
25-Dec-21,0,15,2,8,0,0
26-Dec-21,68,13,1,8,0,0
27-Dec-21,66,12,1,4,0,0
28-Dec-21,44,13,2,11,0,0
29-Dec-21,25,13,7,12,0,0
30-Dec-21,30,14,2,8,0,0
31-Dec-21,39,12,3,11,0,0
