DAY,BaP,As,Cd,Ni,Pb
1-Jan-19,0,0,0,0,0
2-Jan-19,0,0.25,0,0.25,1.05
3-Jan-19,0,0,0,0,0
4-Jan-19,0,0,0,0,0
5-Jan-19,0.19,0.25,0.015,0.25,1.05
6-Jan-19,0,0,0,0,0
7-Jan-19,0,0,0,0,0
8-Jan-19,0,0.25,0.406,2.383,1.05
9-Jan-19,0,0,0,0,0
10-Jan-19,0,0,0,0,0
11-Jan-19,0.023,0.25,0.038,0.25,1.05
12-Jan-19,0,0,0,0,0
13-Jan-19,0,0,0,0,0
14-Jan-19,0,0.25,0.015,4.115,1.05
15-Jan-19,0,0,0,0,0
16-Jan-19,0,0,0,0,0
17-Jan-19,0.045,0.25,0.015,2.6,1.05
18-Jan-19,0,0,0,0,0
19-Jan-19,0,0,0,0,0
20-Jan-19,0,0.25,0.015,0.25,1.05
21-Jan-19,0,0,0,0,0
22-Jan-19,0,0,0,0,0
23-Jan-19,0.003,0.25,0.015,0.25,4.765
24-Jan-19,0,0,0,0,0
25-Jan-19,0,0,0,0,0
26-Jan-19,0,0.25,0.015,2.599,1.05
27-Jan-19,0,0,0,0,0
28-Jan-19,0,0,0,0,0
29-Jan-19,0.003,0.25,0.015,2.598,1.05
30-Jan-19,0,0,0,0,0
31-Jan-19,0,0,0,0,0
1-Feb-19,0,0,0,0,0
2-Feb-19,0,0,0,0,0
3-Feb-19,0,0,0,0,0
4-Feb-19,0,0,0,0,0
5-Feb-19,0,0,0,0,0
6-Feb-19,0,0,0,0,0
7-Feb-19,0,0,0,0,0
8-Feb-19,0,0,0,0,0
9-Feb-19,0,0,0,0,0
10-Feb-19,0,0,0,0,0
11-Feb-19,0,0,0,0,0
12-Feb-19,0,0,0,0,0
13-Feb-19,0,0,0,0,0
14-Feb-19,0,0,0,0,0
15-Feb-19,0,0,0,0,0
16-Feb-19,0,0,0,0,0
17-Feb-19,0,0,0,0,0
18-Feb-19,0,0,0,0,0
19-Feb-19,0,0,0,0,0
20-Feb-19,0,0,0,0,0
21-Feb-19,0,0,0,0,0
22-Feb-19,0,0,0,0,0
23-Feb-19,0,0,0,0,0
24-Feb-19,0,0,0,0,0
25-Feb-19,0,0,0,0,0
26-Feb-19,0,0,0,0,0
27-Feb-19,0,0,0,0,0
28-Feb-19,0,0,0,0,0
1-Mar-19,0,0,0,0,0
2-Mar-19,0,0,0,0,0
3-Mar-19,0,0,0,0,0
4-Mar-19,0,0,0,0,0
5-Mar-19,0,0,0,0,0
6-Mar-19,0,0,0,0,0
7-Mar-19,0,0,0,0,0
8-Mar-19,0,0,0,0,0
9-Mar-19,0,0,0,0,0
10-Mar-19,0,0,0,0,0
11-Mar-19,0,0,0,0,0
12-Mar-19,0,0,0,0,0
13-Mar-19,0,0,0,0,0
14-Mar-19,0,0,0,0,0
15-Mar-19,0,0,0,0,0
16-Mar-19,0,0,0,0,0
17-Mar-19,0,0,0,0,0
18-Mar-19,0.008,0.25,0.015,10.395,1.05
19-Mar-19,0,0,0,0,0
20-Mar-19,0,0,0,0,0
21-Mar-19,0,0.25,0.015,1.733,1.05
22-Mar-19,0,0,0,0,0
23-Mar-19,0,0,0,0,0
24-Mar-19,0,0.25,0.015,0.25,4.114
25-Mar-19,0,0,0,0,0
26-Mar-19,0,0,0,0,0
27-Mar-19,0.016,0.25,0.015,4.764,6.712
28-Mar-19,0,0,0,0,0
29-Mar-19,0,0,0,0,0
30-Mar-19,0,0.511,0.116,5.631,1.05
31-Mar-19,0,0,0,0,0
1-Apr-19,0,0,0,0,0
2-Apr-19,0,0,0,0,0
3-Apr-19,0,0,0,0,0
4-Apr-19,0,0,0,0,0
5-Apr-19,0,0,0,0,0
6-Apr-19,0,0,0,0,0
7-Apr-19,0,0,0,0,0
8-Apr-19,0,0,0,0,0
9-Apr-19,0,0,0,0,0
10-Apr-19,0,0,0,0,0
11-Apr-19,0,0,0,0,0
12-Apr-19,0,0,0,0,0
13-Apr-19,0,0,0,0,0
14-Apr-19,0,0,0,0,0
15-Apr-19,0,0,0,0,0
16-Apr-19,0,0,0,0,0
17-Apr-19,0,0,0,0,0
18-Apr-19,0,0,0,0,0
19-Apr-19,0,0,0,0,0
20-Apr-19,0,0,0,0,0
21-Apr-19,0,0,0,0,0
22-Apr-19,0,0,0,0,0
23-Apr-19,0,0,0,0,0
24-Apr-19,0,0,0,0,0
25-Apr-19,0,0,0,0,0
26-Apr-19,0,0,0,0,0
27-Apr-19,0,0,0,0,0
28-Apr-19,0,0,0,0,0
29-Apr-19,0,0,0,0,0
30-Apr-19,0,0,0,0,0
1-May-19,0,0,0,0,0
2-May-19,0,0,0,3.248,1.05
3-May-19,0,0,0,0,0
4-May-19,0,0,0,0,0
5-May-19,0.003,0,0,13.86,1.05
6-May-19,0,0,0,0,0
7-May-19,0,0,0,0,0
8-May-19,0.007,0.25,0.015,2.815,1.05
9-May-19,0,0,0,0,0
10-May-19,0,0,0,0,0
11-May-19,0,0.286,0.015,7.58,1.05
12-May-19,0,0,0,0,0
13-May-19,0,0,0,0,0
14-May-19,0,0.25,0.015,9.314,1.05
15-May-19,0,0,0,0,0
16-May-19,0,0,0,0,0
17-May-19,0.003,0.25,0.015,11.259,1.05
18-May-19,0,0,0,0,0
19-May-19,0,0,0,0,0
20-May-19,0,0,0,0,0
21-May-19,0,0,0,0,0
22-May-19,0,0,0,0,0
23-May-19,0,0,0,0,0
24-May-19,0,0,0,0,0
25-May-19,0,0,0,0,0
26-May-19,0,0,0,0,0
27-May-19,0,0,0,0,0
28-May-19,0,0,0,0,0
29-May-19,0,0.25,0.015,3.032,1.05
30-May-19,0,0,0,0,0
31-May-19,0,0,0,0,0
1-Jun-19,0,0,0,0,0
2-Jun-19,0,0,0,0,0
3-Jun-19,0,0,0,0,0
4-Jun-19,0,0,0,0,0
5-Jun-19,0,0,0,0,0
6-Jun-19,0,0,0,0,0
7-Jun-19,0,0,0,0,0
8-Jun-19,0,0,0,0,0
9-Jun-19,0,0,0,0,0
10-Jun-19,0,0,0,0,0
11-Jun-19,0,0,0,0,0
12-Jun-19,0,0,0,0,0
13-Jun-19,0,0,0,0,0
14-Jun-19,0,0,0,0,0
15-Jun-19,0,0,0,0,0
16-Jun-19,0,0,0,0,0
17-Jun-19,0,0,0,0,0
18-Jun-19,0,0,0,0,0
19-Jun-19,0,0,0,0,0
20-Jun-19,0,0,0,0,0
21-Jun-19,0,0,0,0,0
22-Jun-19,0,0,0,0,0
23-Jun-19,0,0,0,0,0
24-Jun-19,0,0,0,0,0
25-Jun-19,0,0,0,0,0
26-Jun-19,0,0,0,0,0
27-Jun-19,0,0,0,0,0
28-Jun-19,0,0,0,0,0
29-Jun-19,0,0,0,0,0
30-Jun-19,0,0,0,0,0
1-Jul-19,0.003,0.25,0.015,5.529,1.05
2-Jul-19,0,0,0,0,0
3-Jul-19,0,0,0,0,0
4-Jul-19,0,0.25,0.048,9.275,1.05
5-Jul-19,0,0,0,0,0
6-Jul-19,0,0,0,0,0
7-Jul-19,0.003,0.25,0.011,3.458,1.05
8-Jul-19,0,0,0,0,0
9-Jul-19,0,0,0,0,0
10-Jul-19,0,0.25,0.015,17.637,1.05
11-Jul-19,0,0,0,0,0
12-Jul-19,0,0,0,0,0
13-Jul-19,0.003,0.25,0.015,3.507,1.05
14-Jul-19,0,0,0,0,0
15-Jul-19,0,0,0,0,0
16-Jul-19,0.003,0.25,0.015,0.25,1.05
17-Jul-19,0,0,0,0,0
18-Jul-19,0,0,0,0,0
19-Jul-19,0,0,0,0,0
20-Jul-19,0,0,0,0,0
21-Jul-19,0,0,0,0,0
22-Jul-19,0,0,0,0,0
23-Jul-19,0,0,0,0,0
24-Jul-19,0,0,0,0,0
25-Jul-19,0,0.25,0.015,0.25,1.05
26-Jul-19,0,0,0,0,0
27-Jul-19,0,0,0,0,0
28-Jul-19,0,0,0,0,0
29-Jul-19,0,0,0,0,0
30-Jul-19,0,0,0,0,0
31-Jul-19,0,0,0,0,0
1-Aug-19,0,0,0,0,0
2-Aug-19,0,0,0,0,0
3-Aug-19,0,0,0,0,0
4-Aug-19,0,0,0,0,0
5-Aug-19,0,0,0,0,0
6-Aug-19,0,0,0,0,0
7-Aug-19,0,0,0,0,0
8-Aug-19,0,0,0,0,0
9-Aug-19,0,0,0,0,0
10-Aug-19,0,0,0,0,0
11-Aug-19,0,0,0,0,0
12-Aug-19,0,0,0,0,0
13-Aug-19,0,0,0,0,0
14-Aug-19,0,0,0,0,0
