MAX1,MAX2,MAX3,MAX4,MAX5,MIN1,MIN2,MIN3,MIN4,MIN5,HMAX1,HMA2,HMAX3,HMAX4,HMAX5,HMIN1,HMIN2,HMIN3,HMIN4,HMIN5
68 ,57 ,70 ,81 ,70 ,55 ,48 ,54 ,26 ,46 ,68 ,76 ,72 ,81 ,71 ,30 ,38 ,26 ,39 ,30 
70 ,57 ,75 ,93 ,73 ,48 ,41 ,45 ,37 ,45 ,67 ,76 ,66 ,93 ,81 ,24 ,41 ,25 ,26 ,23 
75 ,66 ,75 ,87 ,73 ,57 ,39 ,46 ,56 ,50 ,77 ,87 ,76 ,87 ,76 ,22 ,29 ,25 ,37 ,31 
77 ,64 ,82 ,94 ,61 ,59 ,45 ,45 ,52 ,55 ,77 ,82 ,93 ,94 ,94 ,29 ,42 ,17 ,56 ,68 
73 ,70 ,84 ,100 ,63 ,61 ,43 ,54 ,47 ,55 ,68 ,93 ,72 ,100 ,88 ,31 ,33 ,22 ,52 ,48 
72 ,73 ,82 ,94 ,66 ,54 ,43 ,48 ,36 ,48 ,72 ,93 ,82 ,94 ,87 ,23 ,25 ,25 ,47 ,42 
70 ,75 ,82 ,88 ,73 ,45 ,46 ,57 ,50 ,48 ,82 ,76 ,63 ,88 ,88 ,28 ,27 ,28 ,36 ,32 
73 ,81 ,79 ,88 ,79 ,52 ,48 ,57 ,29 ,54 ,82 ,87 ,67 ,88 ,94 ,27 ,15 ,34 ,50 ,32 
73 ,79 ,75 ,88 ,73 ,54 ,48 ,57 ,38 ,54 ,82 ,68 ,77 ,88 ,94 ,27 ,23 ,47 ,29 ,53 
72 ,77 ,77 ,76 ,82 ,59 ,61 ,59 ,54 ,52 ,77 ,68 ,82 ,76 ,94 ,38 ,24 ,41 ,38 ,30 
72 ,73 ,82 ,72 ,84 ,57 ,59 ,61 ,50 ,55 ,55 ,68 ,72 ,68 ,82 ,35 ,30 ,26 ,27 ,30 
68 ,75 ,82 ,72 ,79 ,50 ,61 ,55 ,48 ,59 ,88 ,52 ,77 ,76 ,82 ,48 ,27 ,30 ,33 ,33 
68 ,75 ,79 ,75 ,90 ,55 ,55 ,57 ,54 ,61 ,82 ,67 ,82 ,87 ,77 ,37 ,34 ,42 ,34 ,16 
66 ,79 ,82 ,63 ,79 ,50 ,50 ,57 ,54 ,59 ,88 ,87 ,88 ,82 ,68 ,40 ,32 ,37 ,52 ,36 
66 ,81 ,77 ,77 ,79 ,50 ,55 ,63 ,54 ,52 ,88 ,77 ,83 ,82 ,82 ,45 ,26 ,47 ,32 ,39 
70 ,81 ,73 ,73 ,79 ,52 ,61 ,59 ,55 ,61 ,82 ,63 ,94 ,88 ,72 ,40 ,28 ,52 ,27 ,30 
