DAY,SO2,O3,CO,NO,NO2,BEN
13-Jul-20,4,51,0.4,26,50,0.00
14-Jul-20,2,61,0.3,13,35,0.00
15-Jul-20,3,44,0.7,46,69,0.00
16-Jul-20,4,17,1.2,85,101,0.00
17-Jul-20,5,34,0.8,45,87,0.00
18-Jul-20,5,39,0.7,46,78,0.00
19-Jul-20,4,28,0.7,42,84,0.00
20-Jul-20,4,22,1.0,78,97,0.00
21-Jul-20,3,44,0.5,31,58,0.00
22-Jul-20,3,46,0.5,31,69,0.00
23-Jul-20,4,56,0.5,28,68,0.00
24-Jul-20,4,43,0.7,39,78,0.00
25-Jul-20,4,39,0.6,44,77,0.00
26-Jul-20,4,24,0.7,46,85,0.00
27-Jul-20,3,35,0.6,38,72,0.00
28-Jul-20,3,41,0.6,39,69,0.00
29-Jul-20,3,59,0.4,17,61,0.00
30-Jul-20,3,51,0.5,27,70,0.00
31-Jul-20,4,38,0.7,55,88,0.00
1-Aug-20,6,27,1.1,75,114,0.00
2-Aug-20,3,64,0.2,9,39,0.00
3-Aug-20,3,62,0.3,19,50,0.00
4-Aug-20,4,17,1.1,76,105,0.00
5-Aug-20,5,15,1.1,73,111,0.00
6-Aug-20,4,23,0.7,51,88,0.00
7-Aug-20,3,19,0.7,51,76,0.00
8-Aug-20,4,15,0.7,50,67,0.00
9-Aug-20,4,36,0.4,24,60,0.00
10-Aug-20,4,43,0.4,26,59,0.00
11-Aug-20,4,30,0.6,46,68,0.00
12-Aug-20,4,38,0.6,50,65,0.00
13-Aug-20,3,46,0.4,28,56,0.00
14-Aug-20,3,59,0.3,18,46,0.00
15-Aug-20,5,58,0.3,16,53,0.00
16-Aug-20,4,63,0.2,8,31,0.00
17-Aug-20,3,56,0.2,10,31,0.00
18-Aug-20,5,29,0.6,48,78,0.00
19-Aug-20,4,14,0.8,55,87,0.00
20-Aug-20,4,27,0.5,38,68,0.00
21-Aug-20,4,33,0.5,32,66,0.00
22-Aug-20,3,53,0.4,20,57,0.00
23-Aug-20,4,57,0.3,16,52,0.00
24-Aug-20,3,48,0.5,27,64,0.00
25-Aug-20,4,37,0.7,45,76,0.00
26-Aug-20,3,41,0.6,39,70,0.00
27-Aug-20,4,22,0.8,57,97,0.00
28-Aug-20,4,30,0.7,53,75,0.00
29-Aug-20,5,14,1.0,75,114,0.00
30-Aug-20,5,19,0.8,48,97,0.00
31-Aug-20,6,34,0.8,67,79,0.00
1-Sep-20,8,7,1.6,129,129,0.00
2-Sep-20,6,7,1.1,85,109,0.00
3-Sep-20,5,7,1.3,94,118,0.00
4-Sep-20,5,19,0.7,51,84,0.00
5-Sep-20,3,49,0.2,12,39,0.00
6-Sep-20,4,49,0.3,16,49,0.00
7-Sep-20,5,26,1.0,65,92,0.00
8-Sep-20,5,27,0.9,67,85,0.00
9-Sep-20,4,42,0.4,21,63,0.00
10-Sep-20,4,46,0.3,16,55,0.00
11-Sep-20,4,17,0.6,30,68,0.00
12-Sep-20,4,2,0.7,41,72,0.00
13-Sep-20,3,10,0.5,18,53,0.00
14-Sep-20,4,9,0.6,28,67,0.00
15-Sep-20,4,13,0.5,22,56,0.00
16-Sep-20,4,12,0.5,24,55,0.00
17-Sep-20,4,1,1.0,60,75,0.00
18-Sep-20,4,8,0.3,13,38,0.00
19-Sep-20,3,17,0.2,9,25,0.00
20-Sep-20,4,14,0.4,17,35,0.00
21-Sep-20,4,1,0.9,56,63,3.49
22-Sep-20,4,1,1.4,87,81,4.62
23-Sep-20,5,1,1.6,108,97,6.42
24-Sep-20,5,1,1.5,105,83,5.68
25-Sep-20,7,3,1.5,102,91,5.61
26-Sep-20,6,10,1.0,54,67,3.92
27-Sep-20,6,21,0.7,34,65,0.00
28-Sep-20,5,7,1.2,67,66,5.83
29-Sep-20,5,5,1.3,84,84,4.60
30-Sep-20,6,15,1.2,77,77,2.40
1-Oct-20,6,8,1.4,93,90,5.45
2-Oct-20,6,4,1.8,120,98,6.94
3-Oct-20,5,4,1.5,90,83,5.22
4-Oct-20,5,4,1.3,75,74,4.73
5-Oct-20,5,1,1.8,115,77,7.73
6-Oct-20,6,2,2.0,115,104,8.48
7-Oct-20,6,1,2.0,137,96,8.31
8-Oct-20,6,6,1.2,85,75,4.34
9-Oct-20,6,8,1.2,85,76,4.03
10-Oct-20,5,5,1.3,81,87,4.70
11-Oct-20,5,6,0.9,63,78,4.37
12-Oct-20,6,6,0.9,83,71,4.39
13-Oct-20,6,11,0.9,82,68,3.65
14-Oct-20,7,7,0.5,107,87,5.48
15-Oct-20,7,4,0.0,121,86,5.58
16-Oct-20,6,7,0.0,86,73,4.91
17-Oct-20,7,2,0.0,114,73,6.05
18-Oct-20,6,13,0.0,57,65,3.39
19-Oct-20,5,17,0.4,48,55,2.56
20-Oct-20,4,27,0.0,24,46,1.75
21-Oct-20,4,18,0.0,37,48,3.29
22-Oct-20,5,0,0.0,0,0,4.36
23-Oct-20,7,0,0.0,174,114,8.38
24-Oct-20,8,0,0.0,184,97,0.00
25-Oct-20,7,0,0.0,103,76,0.00
26-Oct-20,7,0,0.0,137,87,7.80
27-Oct-20,8,0,0.0,143,91,7.84
28-Oct-20,6,0,0.5,27,41,9.11
29-Oct-20,6,0,1.2,81,59,5.52
30-Oct-20,7,2,2.2,151,75,8.73
31-Oct-20,6,7,1.5,105,71,3.89
1-Nov-20,6,12,1.1,70,53,0.00
2-Nov-20,7,1,2.6,185,84,13.20
3-Nov-20,8,1,2.8,222,80,12.47
4-Nov-20,6,7,1.0,73,46,3.42
5-Nov-20,5,17,0.7,33,44,2.27
6-Nov-20,5,15,0.5,22,40,1.49
7-Nov-20,4,25,0.3,10,30,0.86
8-Nov-20,5,22,0.3,15,28,0.37
9-Nov-20,5,19,0.4,29,34,1.45
10-Nov-20,5,27,0.2,7,24,0.37
11-Nov-20,5,19,0.3,13,25,0.00
12-Nov-20,5,8,0.8,60,46,0.00
13-Nov-20,6,3,1.3,94,63,0.00
14-Nov-20,6,10,0.7,42,46,0.00
15-Nov-20,5,21,0.6,22,40,0.00
16-Nov-20,7,2,1.7,120,72,0.00
17-Nov-20,6,10,1.0,66,54,1.18
18-Nov-20,5,12,0.7,44,48,2.47
19-Nov-20,6,20,0.4,18,37,0.97
20-Nov-20,6,16,0.7,38,47,1.70
21-Nov-20,5,27,0.4,11,32,0.84
22-Nov-20,5,24,0.3,9,23,0.58
23-Nov-20,6,10,1.0,69,51,3.88
24-Nov-20,7,14,0.9,65,46,3.13
25-Nov-20,6,24,0.5,22,41,1.35
26-Nov-20,6,17,0.9,51,53,2.29
27-Nov-20,8,7,1.7,130,73,8.39
28-Nov-20,9,2,1.8,105,75,6.33
29-Nov-20,7,14,0.7,24,39,2.67
30-Nov-20,7,8,1.0,59,47,3.29
1-Dec-20,7,15,0.5,16,30,1.65
2-Dec-20,6,20,0.5,21,31,1.55
3-Dec-20,6,26,0.5,16,38,1.47
4-Dec-20,7,12,1.0,62,49,3.49
5-Dec-20,7,3,1.2,70,56,4.26
6-Dec-20,7,21,0.5,15,29,1.86
7-Dec-20,8,11,1.0,78,63,2.62
8-Dec-20,9,4,2.0,157,72,9.33
9-Dec-20,7,11,0.8,52,54,3.34
10-Dec-20,8,15,0.8,67,49,2.35
11-Dec-20,8,6,1.2,85,63,4.04
12-Dec-20,9,6,1.4,102,58,0.21
13-Dec-20,8,13,0.4,15,30,0.00
14-Dec-20,8,6,0.7,63,41,2.98
15-Dec-20,7,5,1.2,85,51,3.61
16-Dec-20,6,10,0.7,40,44,2.43
17-Dec-20,7,8,1.4,98,52,2.69
18-Dec-20,7,3,1.3,92,44,3.62
19-Dec-20,6,12,0.6,22,38,1.84
20-Dec-20,7,15,0.5,14,32,1.35
21-Dec-20,6,17,0.5,21,34,1.37
22-Dec-20,6,11,0.8,52,46,2.64
23-Dec-20,9,1,2.3,184,62,6.45
24-Dec-20,10,1,2.3,183,61,6.44
25-Dec-20,8,3,1.2,75,49,1.25
26-Dec-20,8,9,1.0,56,43,0.00
27-Dec-20,7,17,0.2,9,21,0.00
28-Dec-20,9,5,1.3,114,69,4.91
29-Dec-20,8,8,0.9,66,64,2.81
30-Dec-20,8,12,0.9,69,61,2.75
31-Dec-20,8,9,0.9,61,54,1.27
1-Jan-21,9,6,1.2,72,59,0.00
2-Jan-21,8,12,0.9,38,46,0.00
3-Jan-21,7,10,0.6,36,38,0.00
4-Jan-21,8,18,0.5,26,37,0.83
5-Jan-21,10,6,1.7,134,70,7.07
6-Jan-21,9,3,1.4,75,56,0.00
7-Jan-21,9,1,2.2,153,75,9.75
8-Jan-21,9,3,1.1,74,58,4.18
9-Jan-21,9,5,1.5,104,44,0.71
10-Jan-21,9,1,1.4,88,45,0.00
11-Jan-21,9,4,0.8,54,53,3.60
12-Jan-21,9,9,0.7,49,41,2.92
13-Jan-21,11,5,1.2,80,65,3.71
14-Jan-21,10,6,1.1,72,69,3.54
15-Jan-21,9,18,0.6,19,42,1.53
16-Jan-21,10,15,0.7,33,41,2.29
17-Jan-21,11,25,0.7,19,42,1.63
18-Jan-21,10,22,0.7,20,43,1.59
19-Jan-21,7,6,1.5,92,73,4.35
20-Jan-21,6,4,2.5,194,89,8.87
21-Jan-21,5,3,3.2,252,90,13.88
22-Jan-21,4,1,2.3,167,73,8.57
23-Jan-21,2,15,0.7,40,63,0.00
24-Jan-21,3,11,0.8,48,56,0.00
25-Jan-21,4,10,1.2,91,66,3.60
26-Jan-21,3,7,0.8,58,61,1.25
27-Jan-21,4,11,0.9,54,55,1.45
28-Jan-21,5,11,1.3,76,66,2.50
29-Jan-21,6,1,2.8,222,89,7.96
30-Jan-21,6,2,2.0,139,72,6.96
31-Jan-21,4,7,1.2,58,47,0.00
1-Feb-21,3,7,1.0,91,54,3.94
2-Feb-21,4,2,1.7,132,71,5.76
3-Feb-21,5,1,2.2,176,78,6.25
4-Feb-21,4,1,1.7,135,77,4.72
5-Feb-21,4,1,2.3,188,80,9.84
6-Feb-21,4,1,1.9,136,74,0.00
7-Feb-21,4,3,1.2,73,63,0.00
8-Feb-21,4,11,0.7,51,52,2.76
9-Feb-21,4,5,1.1,89,72,4.64
10-Feb-21,4,3,1.4,105,81,4.36
11-Feb-21,4,7,0.9,55,62,2.56
12-Feb-21,5,7,1.2,84,73,3.26
13-Feb-21,3,26,0.5,12,34,0.00
14-Feb-21,4,26,0.6,17,36,0.00
15-Feb-21,4,26,0.6,24,47,1.34
16-Feb-21,4,26,0.6,13,40,1.00
17-Feb-21,6,18,1.5,96,70,3.85
18-Feb-21,8,2,2.5,182,86,6.14
19-Feb-21,7,4,2.3,155,85,6.67
20-Feb-21,6,4,1.6,84,73,3.89
21-Feb-21,3,31,0.5,8,33,1.02
22-Feb-21,4,9,1.5,94,76,3.49
23-Feb-21,7,1,2.8,209,90,8.20
24-Feb-21,5,26,1.7,108,70,4.81
25-Feb-21,2,38,0.6,16,49,1.18
26-Feb-21,2,29,0.9,38,57,1.72
27-Feb-21,5,3,1.6,91,90,3.96
28-Feb-21,3,33,0.7,20,36,1.88
1-Mar-21,3,20,0.9,44,62,1.75
2-Mar-21,2,30,0.6,22,45,1.06
3-Mar-21,3,26,0.8,30,62,1.42
4-Mar-21,8,5,3.1,122,97,7.67
5-Mar-21,6,1,1.9,126,94,4.74
6-Mar-21,5,14,0.8,33,63,1.51
7-Mar-21,3,35,0.5,5,25,0.74
8-Mar-21,4,9,1.1,66,70,2.27
9-Mar-21,4,23,0.7,29,55,1.31
10-Mar-21,7,8,1.4,82,88,2.94
11-Mar-21,4,18,0.8,34,57,1.44
12-Mar-21,4,16,1.1,60,74,2.16
13-Mar-21,6,3,1.5,83,82,3.37
14-Mar-21,5,5,1.1,48,70,2.53
15-Mar-21,5,22,1.0,22,52,1.41
16-Mar-21,4,24,0.8,33,59,1.14
17-Mar-21,6,16,1.0,51,69,1.56
18-Mar-21,5,17,1.0,55,72,1.57
19-Mar-21,5,10,1.2,73,78,2.31
20-Mar-21,4,9,1.0,49,59,2.03
21-Mar-21,4,21,0.6,16,32,1.17
22-Mar-21,5,10,1.0,57,70,2.01
23-Mar-21,4,29,0.7,25,46,1.17
24-Mar-21,4,30,0.8,28,54,1.19
25-Mar-21,3,46,0.6,9,37,0.72
26-Mar-21,6,14,1.3,67,82,2.14
27-Mar-21,4,10,1.3,54,90,2.53
28-Mar-21,4,12,1.2,35,82,2.21
29-Mar-21,4,10,1.5,87,87,3.53
30-Mar-21,3,47,0.6,12,46,0.81
31-Mar-21,3,37,0.7,17,50,0.85
1-Apr-21,4,28,1.0,46,66,1.61
2-Apr-21,7,3,2.0,124,97,4.56
3-Apr-21,4,12,1.1,44,76,2.05
4-Apr-21,4,20,0.7,24,54,1.30
5-Apr-21,4,14,0.8,40,47,1.59
6-Apr-21,5,15,1.0,46,61,1.87
7-Apr-21,5,20,1.1,49,75,1.94
8-Apr-21,4,24,0.9,37,66,1.51
9-Apr-21,3,29,0.9,28,63,1.27
10-Apr-21,3,32,0.9,25,64,1.29
11-Apr-21,4,15,1.1,35,81,2.01
12-Apr-21,4,5,1.5,82,102,2.96
13-Apr-21,6,7,1.5,96,96,3.31
14-Apr-21,5,3,1.5,90,97,3.10
15-Apr-21,5,12,1.3,67,88,2.41
16-Apr-21,3,44,0.6,14,45,0.94
17-Apr-21,3,48,0.6,11,43,1.01
18-Apr-21,4,12,1.1,43,73,2.24
19-Apr-21,5,10,1.3,73,89,2.89
20-Apr-21,4,26,1.0,45,89,1.75
21-Apr-21,5,22,1.2,55,96,2.10
22-Apr-21,5,15,1.4,75,102,2.75
23-Apr-21,4,22,1.4,74,99,2.82
24-Apr-21,3,43,0.5,12,36,0.77
25-Apr-21,3,40,0.6,12,48,0.95
26-Apr-21,4,15,1.3,58,97,2.50
27-Apr-21,6,14,1.2,64,94,2.57
28-Apr-21,5,11,1.3,74,90,2.85
29-Apr-21,5,3,1.7,102,103,4.38
30-Apr-21,6,4,1.5,76,100,3.76
1-May-21,8,4,1.7,84,115,4.54
2-May-21,6,8,2.4,59,109,6.97
3-May-21,6,1,1.5,70,84,3.86
4-May-21,4,22,0.7,17,49,0.00
5-May-21,6,4,1.3,76,86,3.12
6-May-21,6,8,1.3,71,90,2.74
7-May-21,6,2,1.6,94,88,3.69
8-May-21,7,23,0.8,33,60,1.68
9-May-21,3,57,0.4,3,22,0.36
10-May-21,3,55,0.6,11,39,0.64
11-May-21,4,39,0.8,20,58,0.97
12-May-21,6,11,1.5,83,100,3.20
13-May-21,7,6,1.3,75,82,2.79
14-May-21,6,7,1.2,60,81,2.14
15-May-21,6,3,1.3,72,84,2.76
16-May-21,6,12,0.8,30,67,1.38
17-May-21,6,6,1.4,71,89,3.26
18-May-21,6,5,1.2,69,78,2.42
19-May-21,6,2,1.5,85,94,2.81
20-May-21,6,5,1.3,51,81,2.56
21-May-21,5,15,1.0,36,74,1.71
22-May-21,5,5,1.3,55,90,2.52
23-May-21,6,9,1.2,45,100,2.30
24-May-21,7,1,1.7,101,104,5.11
25-May-21,8,6,0.9,57,79,2.57
26-May-21,8,1,1.4,83,107,3.78
27-May-21,9,0,1.3,76,108,3.33
28-May-21,9,6,1.1,63,92,2.83
29-May-21,7,6,0.9,36,81,2.02
30-May-21,8,0,0.9,36,80,2.26
31-May-21,9,12,1.0,54,85,2.55
1-Jun-21,8,23,0.8,44,70,1.96
2-Jun-21,7,28,0.7,45,60,1.73
3-Jun-21,9,10,1.2,73,100,3.20
4-Jun-21,7,35,0.6,22,61,1.57
5-Jun-21,7,34,0.7,30,67,1.67
6-Jun-21,9,12,0.9,41,88,2.36
7-Jun-21,10,7,1.3,87,104,3.57
8-Jun-21,8,21,1.0,59,79,2.66
9-Jun-21,7,28,0.6,34,59,1.74
10-Jun-21,9,12,1.1,64,80,3.08
11-Jun-21,9,6,1.5,93,84,4.90
12-Jun-21,8,13,1.2,73,72,0.00
13-Jun-21,8,14,1.0,57,81,0.00
14-Jun-21,8,26,0.8,51,63,2.32
15-Jun-21,8,15,0.9,60,69,2.39
16-Jun-21,9,9,1.4,90,85,4.08
17-Jun-21,10,3,3.3,116,97,8.60
18-Jun-21,10,3,1.6,102,102,4.26
19-Jun-21,9,6,1.3,76,99,3.85
20-Jun-21,9,16,1.0,40,92,2.76
21-Jun-21,9,7,1.1,54,93,2.10
22-Jun-21,9,6,1.5,94,102,5.28
23-Jun-21,10,3,1.7,105,117,5.60
24-Jun-21,9,4,1.6,98,115,5.39
25-Jun-21,9,2,1.6,105,113,5.53
26-Jun-21,10,11,1.4,89,100,5.04
27-Jun-21,8,24,0.8,37,73,2.19
28-Jun-21,7,38,0.5,22,58,1.48
29-Jun-21,8,14,1.1,56,108,3.61
30-Jun-21,9,9,1.2,61,115,3.73
1-Jul-21,10,4,1.6,114,124,5.67
2-Jul-21,11,27,0.9,64,96,2.78
3-Jul-21,9,40,0.7,32,75,1.94
4-Jul-21,8,32,0.7,32,84,1.93
5-Jul-21,9,18,1.1,60,96,3.20
6-Jul-21,9,33,1.0,55,84,3.05
7-Jul-21,9,43,0.7,39,65,2.44
8-Jul-21,7,55,0.3,7,40,0.89
9-Jul-21,7,45,0.4,16,54,1.35
10-Jul-21,8,76,0.3,7,43,0.80
11-Jul-21,8,62,0.4,11,52,0.97
12-Jul-21,9,46,0.6,30,66,1.75
13-Jul-21,5,45,0.6,30,64,2.14
14-Jul-21,2,63,0.4,20,59,1.44
15-Jul-21,2,67,0.3,12,53,1.13
16-Jul-21,3,23,1.0,66,106,3.71
17-Jul-21,3,15,0.7,49,109,3.03
18-Jul-21,3,19,0.7,32,92,2.35
19-Jul-21,3,13,0.7,47,87,2.87
20-Jul-21,3,8,1.1,58,80,3.16
21-Jul-21,2,17,1.1,54,86,3.01
22-Jul-21,2,50,0.4,9,45,1.03
23-Jul-21,2,42,0.5,13,53,1.42
24-Jul-21,2,43,0.5,11,56,1.40
25-Jul-21,2,64,0.3,4,38,0.81
26-Jul-21,2,73,0.3,5,43,0.87
27-Jul-21,2,86,0.3,3,38,0.70
28-Jul-21,2,80,0.4,3,44,0.84
29-Jul-21,3,41,0.8,39,83,3.02
30-Jul-21,5,8,1.6,100,124,5.96
31-Jul-21,5,8,1.6,98,117,6.00
1-Aug-21,4,41,1.1,54,79,3.84
2-Aug-21,5,11,1.4,72,125,4.96
3-Aug-21,5,20,1.4,113,102,6.21
4-Aug-21,6,4,2.2,101,136,11.12
5-Aug-21,6,3,1.8,116,116,8.10
6-Aug-21,5,12,1.2,76,84,4.56
7-Aug-21,3,41,0.7,15,51,2.15
8-Aug-21,3,36,0.8,24,68,2.42
9-Aug-21,3,18,1.2,48,105,3.64
10-Aug-21,5,10,1.3,61,114,4.63
11-Aug-21,6,7,1.3,79,103,4.52
12-Aug-21,4,55,0.3,6,41,1.17
13-Aug-21,4,70,0.2,3,37,0.74
14-Aug-21,4,72,0.2,3,28,0.58
15-Aug-21,4,78,0.2,3,31,0.48
16-Aug-21,4,56,0.4,16,54,1.12
17-Aug-21,6,28,0.8,36,103,2.46
18-Aug-21,5,13,1.0,52,106,3.49
19-Aug-21,4,54,0.3,11,46,1.16
20-Aug-21,4,85,0.2,3,27,0.50
21-Aug-21,4,76,0.3,4,36,0.73
22-Aug-21,4,57,0.3,6,45,1.06
23-Aug-21,5,53,0.3,10,49,1.04
24-Aug-21,4,43,0.5,26,63,1.65
25-Aug-21,6,16,1.1,61,106,3.60
26-Aug-21,6,8,1.3,81,104,4.22
27-Aug-21,6,7,1.1,71,90,4.70
28-Aug-21,6,15,1.0,49,92,0.00
29-Aug-21,6,20,0.7,29,76,0.00
30-Aug-21,7,12,1.2,71,99,4.41
31-Aug-21,6,12,1.2,61,101,4.18
1-Sep-21,6,20,1.1,56,96,3.61
2-Sep-21,5,49,0.4,9,46,1.31
3-Sep-21,5,52,0.4,12,45,1.36
4-Sep-21,4,52,0.3,9,41,1.21
5-Sep-21,5,62,0.3,7,37,0.92
6-Sep-21,4,41,0.4,12,51,1.46
7-Sep-21,4,50,0.3,10,40,1.16
8-Sep-21,4,32,0.7,37,49,2.44
9-Sep-21,5,12,1.0,54,70,3.38
10-Sep-21,5,23,0.9,51,72,2.69
11-Sep-21,5,25,0.9,40,73,2.67
12-Sep-21,7,64,0.6,14,57,1.50
13-Sep-21,7,22,1.0,46,96,3.01
14-Sep-21,7,31,0.9,46,92,2.81
15-Sep-21,6,28,1.2,65,101,4.04
16-Sep-21,8,9,1.6,95,118,5.31
17-Sep-21,8,4,1.8,113,113,4.23
18-Sep-21,7,7,1.3,83,90,0.00
19-Sep-21,8,6,1.3,84,83,0.00
20-Sep-21,7,2,1.7,136,85,5.67
21-Sep-21,7,14,1.1,72,79,3.72
22-Sep-21,6,35,0.5,16,50,1.71
23-Sep-21,5,46,0.4,12,38,0.87
24-Sep-21,9,19,1.4,85,91,3.65
25-Sep-21,8,6,2.0,115,116,6.25
26-Sep-21,8,33,1.5,65,80,3.68
27-Sep-21,10,13,1.9,115,114,6.80
28-Sep-21,7,47,0.6,18,60,1.46
29-Sep-21,5,50,0.3,9,35,0.75
30-Sep-21,4,43,0.6,21,50,1.27
1-Oct-21,4,48,0.4,12,39,0.90
2-Oct-21,4,41,0.6,22,52,1.40
3-Oct-21,5,48,0.5,17,41,1.11
4-Oct-21,5,32,0.8,43,63,1.97
5-Oct-21,7,39,0.8,40,56,1.84
6-Oct-21,5,54,0.4,10,39,0.72
7-Oct-21,5,37,0.6,29,54,1.51
8-Oct-21,6,14,1.0,51,67,2.83
9-Oct-21,6,12,1.1,67,70,3.43
10-Oct-21,5,10,0.9,55,61,2.84
11-Oct-21,6,8,1.5,101,63,3.57
12-Oct-21,8,2,1.9,143,77,5.79
13-Oct-21,8,15,1.5,101,71,4.76
14-Oct-21,5,16,0.8,44,51,2.42
15-Oct-21,4,27,0.7,49,52,2.14
16-Oct-21,6,7,1.6,103,82,4.60
17-Oct-21,4,12,1.0,59,54,2.85
18-Oct-21,3,23,0.7,36,47,1.81
19-Oct-21,3,26,0.8,40,50,2.17
20-Oct-21,4,18,1.1,65,65,3.56
21-Oct-21,8,5,2.0,126,91,6.80
22-Oct-21,8,3,2.3,159,96,7.74
23-Oct-21,8,4,1.9,129,82,6.60
24-Oct-21,6,21,1.2,82,43,4.73
25-Oct-21,5,46,0.4,12,36,0.50
26-Oct-21,5,39,0.5,25,40,1.39
27-Oct-21,6,27,0.8,51,54,2.04
28-Oct-21,5,52,0.4,10,32,0.66
29-Oct-21,5,46,0.5,18,43,0.74
30-Oct-21,6,26,1.0,58,62,0.00
31-Oct-21,6,35,0.7,30,47,0.00
1-Nov-21,8,6,1.8,116,91,5.80
2-Nov-21,7,9,1.5,87,71,5.03
3-Nov-21,8,3,2.4,164,84,8.35
4-Nov-21,8,2,2.3,167,80,8.18
5-Nov-21,8,2,2.1,155,77,7.15
6-Nov-21,8,2,2.7,173,97,9.49
7-Nov-21,8,5,1.9,128,69,6.96
8-Nov-21,8,3,1.8,129,77,6.02
9-Nov-21,7,12,0.9,55,57,2.82
10-Nov-21,5,36,0.3,11,31,0.76
11-Nov-21,5,30,0.7,37,53,1.49
12-Nov-21,7,9,1.5,107,80,4.05
13-Nov-21,9,6,1.9,120,84,5.64
14-Nov-21,7,13,1.2,58,64,3.21
15-Nov-21,6,37,0.5,15,43,1.17
16-Nov-21,6,44,0.4,14,39,0.87
17-Nov-21,5,35,0.4,14,38,0.85
18-Nov-21,7,12,1.5,98,72,4.14
19-Nov-21,6,17,0.8,42,48,1.88
20-Nov-21,7,8,1.4,88,70,3.48
21-Nov-21,8,12,1.7,105,66,4.97
22-Nov-21,8,8,1.8,115,68,5.80
23-Nov-21,8,8,2.2,156,67,7.57
24-Nov-21,6,14,0.7,39,44,1.70
25-Nov-21,6,28,0.7,32,45,0.95
26-Nov-21,8,9,2.3,158,61,9.70
27-Nov-21,9,9,1.8,127,67,6.11
28-Nov-21,8,21,0.9,52,58,2.21
29-Nov-21,9,11,1.2,93,75,3.29
30-Nov-21,9,18,1.2,86,70,2.72
1-Dec-21,10,6,1.7,128,81,4.14
2-Dec-21,10,2,2.9,227,91,9.51
3-Dec-21,9,14,1.8,128,68,5.99
4-Dec-21,8,11,1.2,80,62,3.39
5-Dec-21,9,2,2.3,148,72,6.77
6-Dec-21,9,17,1.6,105,68,4.70
7-Dec-21,9,17,1.3,91,73,3.17
8-Dec-21,13,4,1.9,142,71,5.32
9-Dec-21,9,15,1.5,100,72,4.10
10-Dec-21,8,21,1.3,100,76,2.20
11-Dec-21,7,42,0.5,17,47,0.00
12-Dec-21,8,6,1.6,101,83,0.00
13-Dec-21,9,2,1.8,125,72,4.96
14-Dec-21,8,6,1.4,102,53,3.44
15-Dec-21,6,15,0.8,37,46,1.75
16-Dec-21,7,12,1.4,93,64,3.30
17-Dec-21,10,2,2.0,147,80,5.17
18-Dec-21,8,20,0.7,34,46,1.20
19-Dec-21,8,17,1.1,62,56,2.15
20-Dec-21,12,3,2.4,161,77,6.23
21-Dec-21,8,16,1.0,52,55,2.00
22-Dec-21,8,13,1.1,61,62,2.21
23-Dec-21,8,17,1.3,66,63,2.58
24-Dec-21,11,2,2.6,196,81,7.46
25-Dec-21,10,2,3.7,168,80,10.04
26-Dec-21,10,1,2.3,155,67,7.14
27-Dec-21,8,4,1.6,117,67,4.17
28-Dec-21,8,14,0.6,29,49,1.10
29-Dec-21,10,4,2.1,178,66,5.96
30-Dec-21,9,5,1.4,88,56,4.04
31-Dec-21,7,16,1.0,48,48,1.93
