DAY,2021,2020,2018
1-Mar,3,19,8
2-Mar,2,20,6
3-Mar,3,16,14
4-Mar,8,18,15
5-Mar,6,20,10
6-Mar,5,18,8
7-Mar,3,17,8
8-Mar,4,15,8
9-Mar,4,17,11
10-Mar,7,18,11
11-Mar,4,18,10
12-Mar,4,17,10
13-Mar,6,18,7
14-Mar,5,19,7
15-Mar,5,17,7
16-Mar,4,14,9
17-Mar,6,15,9
18-Mar,5,18,7
19-Mar,5,15,7
20-Mar,4,18,7
21-Mar,4,19,7
22-Mar,5,16,5
23-Mar,4,10,6
24-Mar,4,3,6
25-Mar,3,2,5
26-Mar,6,2,5
27-Mar,4,3,9
28-Mar,4,3,9
29-Mar,4,7,6
30-Mar,3,5,10
31-Mar,3,3,10
1-Apr,4,3,7
2-Apr,7,4,8
3-Apr,4,3,9
4-Apr,4,3,15
5-Apr,4,3,17
6-Apr,5,2,13
7-Apr,5,2,6
8-Apr,4,2,4
9-Apr,3,3,3
10-Apr,3,3,10
11-Apr,4,5,14
12-Apr,4,3,14
13-Apr,6,3,15
14-Apr,5,8,16
15-Apr,5,3,11
16-Apr,3,2,10
17-Apr,3,6,15
18-Apr,4,6,12
19-Apr,5,6,9
20-Apr,4,5,11
21-Apr,5,2,4
22-Apr,5,2,10
23-Apr,4,2,14
24-Apr,3,2,18
25-Apr,3,5,18
26-Apr,4,4,18
27-Apr,6,5,20
28-Apr,5,5,11
29-Apr,5,4,9
30-Apr,6,4,10
1-May,8,5,11
2-May,6,6,14
3-May,6,4,11
4-May,4,3,14
5-May,6,3,14
6-May,6,5,10
7-May,6,3,8
8-May,7,3,12
9-May,3,4,14
10-May,3,5,14
11-May,4,4,11
12-May,6,4,8
13-May,7,6,9
14-May,6,5,11
15-May,6,6,14
16-May,6,7,15
17-May,6,5,16
18-May,6,5,16
19-May,6,5,14
20-May,6,6,10
21-May,5,6,7
22-May,5,3,8
23-May,6,5,9
24-May,7,2,13
25-May,8,2,11
26-May,8,2,8
27-May,9,2,6
28-May,9,3,5
29-May,7,5,5
30-May,8,4,6
31-May,9,5,6
