DAY,BENMEAN,BENMIN,BENMAX,BEN2O,COMEAN,COMIN,COMAX,CO2O,NOMEAN,NOMIN,NOMAX,NO2O,NO2MEAN,NO2MIN,NO2MAX,NO22O,O3MEAN,O3MIN,O3MAX,O32O,SO2MEAN,SO2MIN,SO2MAX,SO2O
28-Mar,3.417687121,1.65625,5.66,1.3,1.050362319,0.383333333,1.708333333,0.3,62.03894928,21.91666667,126,26.5,35.37732488,49.7,126,47.6,19.97373188,4.833333333,51.83333333,22.7,5.791666667,3.541666667,8.75,3.2
29-Mar,4.473194444,2.24,7.385,1.5,1.373611111,1.0125,1.995833333,0.3,76.91865079,17.22222222,137.8333333,19.7,39.09500661,38.7,137.8333333,49.1,20.47916667,3.625,46.75,21.9,5.673611111,4.375,7.458333333,7
30-Mar,4.671081349,0.8125,8.22125,2.2,1.359722222,0.645833333,2.045833333,0.6,74.86309524,12.25,133.4583333,47.5,37.30287698,39.9,133.4583333,44.8,21.55729167,2.375,44,30.9,6.875,3.041666667,9.791666667,4.7
31-Mar,3.931679505,0.852380952,8.197083333,1,1.1125,0.379166667,2.083333333,0.2,60.68452381,16.20833333,143.9166667,8.3,37.21547619,47,143.9166667,44.5,21.359375,2.5,60.58333333,52.8,5.736111111,2.875,9.708333333,3.1
1-Apr,2.695940171,1,7.610416667,1.2,0.9375,0.441666667,1.954166667,0.3,51.92673993,25.41666667,129.2916667,18.6,34.86487332,57.5,129.2916667,52.1,19.03736413,2.166666667,47.41666667,36.9,5.854166667,3,9.166666667,3
2-Apr,5.093229167,4.543333333,5.993333333,1.1,1.305555556,0.995833333,1.954166667,0.3,75.48015873,14.44444444,123.625,17.8,36.01729497,44.2,123.625,51.5,11.69270833,1.166666667,43.29166667,39.4,6.242346939,2.571428571,8.916666667,3.6
3-Apr,3.74575,0.85,8.04375,0.9,0.983333333,0.479166667,1.570833333,0.2,54.08488613,11.54166667,121.4166667,11,31.50234213,52.6,121.4166667,35.1,16.32481061,5.25,41.625,45,5.797619048,3.5,8.708333333,2.5
4-Apr,4.727487745,1.3,8.824583333,0.7,1.235416667,0.733333333,1.6375,0.1,73.17857143,23.66666667,122.1666667,4.4,36.80823413,73.5,122.1666667,22.1,17.171875,2.25,34.54166667,49.9,6.857142857,3.583333333,14.91666667,2.8
5-Apr,4.854768519,1.375,9.055833333,0.8,1.268055556,0.529166667,2.133333333,0.1,79.99404762,21.04166667,140.1666667,10.8,40.58928571,73.5,140.1666667,33.5,11.8740942,1.916666667,28.125,36.2,7.535714286,3.666666667,16.5,2.6
6-Apr,4.524100529,1.879166667,8.844166667,1,1.30625,0.6125,2.179166667,0.2,72.92650104,19.65217391,139.7083333,14.4,39.14436249,37.1,139.7083333,46.5,14.65692935,2.375,24.79166667,46.9,7.390010352,4.52173913,12.5,2
7-Apr,3.761944444,1.9375,7.445,0.7,1.135416667,0.525,1.875,0.2,68.0297619,28.875,124.1666667,15.4,37.22440476,56.3,124.1666667,42.7,12.11979167,3.25,22.58333333,49.3,6.148809524,4.791666667,9.375,2
8-Apr,2.273700397,0.9,4.1,0.6,0.886805556,0.233333333,1.179166667,0.2,50.64285714,8.75,77.41666667,6,23.06478175,35.8,77.41666667,36.6,18.484375,4.583333333,45.41666667,64.1,5.220238095,3.666666667,7.25,2.4
9-Apr,2.526666667,1.266666667,4.286666667,0.9,0.858333333,0.4,1.279166667,0.3,45.93452381,19.375,74.54166667,14.4,23.62172619,57.3,74.54166667,48.2,19.13020833,2.125,38.625,55.3,5,3,7.25,2.8
10-Apr,2.791416667,1.166666667,6.01,1.6,0.847222222,0.595833333,1.195833333,0.6,49.42857143,25.16666667,88.54166667,34.8,27.58878968,64,88.54166667,68.8,14.671875,3.375,35,37.3,6.041666667,2.916666667,10.08333333,3.1
11-Apr,3.75969246,1.528571429,8.765833333,2.4,1.085416667,0.6375,1.729166667,0.7,63.58766234,29.83333333,144.4166667,41.5,40.16113817,71.8,144.4166667,80.7,12.76136364,2.583333333,39.29166667,25,6.68452381,3.833333333,14.25,5
12-Apr,4.91724537,2.888888889,8.772083333,1.2,1.439087302,1.091666667,1.725,0.3,90.80952381,70.54166667,133.2916667,6.1,49.49464286,76.9,133.2916667,41,10.13636364,2.166666667,21.54166667,63,7.50170068,4.458333333,14.04166667,2.5
13-Apr,5.264368687,2.504545455,8.935416667,1.9,1.475,1.016666667,2.15,0.6,93.8452381,65.54166667,140.7916667,42.1,50.58809524,78.3,140.7916667,81.4,11.765625,2.125,28.75,29.9,8.047619048,4.625,15.45833333,3
14-Apr,5.647222222,2.313333333,11.37375,2.2,1.497916667,0.741666667,2.675,0.6,95.08928571,33.04166667,153,50.2,47.50099206,73,153,71.5,15.25520833,2.75,38.125,40.6,8.458333333,5.083333333,16.16666667,8
15-Apr,3.816083333,2.246666667,6.947083333,0.9,0.997222222,0.4,1.654166667,0.2,54.30357143,16.04166667,103.375,13.1,29.29573413,57.3,103.375,45.3,24.06136775,9.782608696,49.75,51.3,7.297619048,5,10.58333333,2.6
16-Apr,3.735644928,0.9375,6.497391304,0.7,0.976811594,0.579166667,1.760869565,0.2,50.1252588,13.5,118.0434783,7.7,30.63826777,46.4,118.0434783,33.3,20.46541502,3.086956522,55.54166667,45.5,6.504658385,2.916666667,9.782608696,2
17-Apr,3.322583333,0.83,7.231666667,1.3,0.829861111,0.433333333,1.533333333,0.4,54.77380952,11.08333333,104.875,24.7,28.84424603,76.3,104.875,62.6,17.69642857,3.333333333,47.79166667,26.6,7.916666667,3.375,14.70833333,5.9
18-Apr,4.338377525,0.7875,9.133333333,1.6,1.116666667,0.279166667,2.216666667,0.4,64.13095238,14.83333333,142.7083333,26,37.44821429,63.8,142.7083333,60.9,16.66666667,2.875,46.875,23.9,7.386904762,4.083333333,14.70833333,6
