DAY,COMEAN,COMIN,COMAX,CO2O,NOMEAN,NOMIN,NOMAX,NO2O,NO2MEAN,NO2MIN,NO2MAX,NO22O,O3MEAN,O3MIN,O3MAX,O32O
19-May,0.29,0.17,0.38,0.10,5.31,1.00,9.67,5.00,24.11,9.67,50.50,57.00,68.40,55.29,84.33,64.00
20-May,0.35,0.19,0.46,0.10,7.05,1.04,13.42,7.00,20.51,13.67,30.63,41.00,64.83,44.38,90.42,59.00
21-May,0.26,0.18,0.37,0.30,4.33,1.17,10.79,2.00,18.83,6.83,32.04,19.00,66.77,49.46,81.25,80.00
22-May,0.32,0.21,0.54,0.30,9.92,3.00,26.00,1.00,24.83,12.04,56.42,9.00,57.53,30.33,71.67,79.00
23-May,0.36,0.31,0.41,0.80,11.02,2.00,20.42,3.00,29.63,11.42,68.04,21.00,63.38,49.58,76.79,75.00
24-May,0.36,0.26,0.43,1.00,6.39,1.71,13.54,1.00,28.40,12.21,75.08,18.00,63.70,47.33,78.38,86.00
25-May,0.34,0.26,0.43,0.60,7.58,1.67,15.71,1.00,29.48,15.13,71.96,20.00,64.02,51.63,78.13,75.00
26-May,0.33,0.29,0.39,0.50,5.91,1.88,14.17,1.00,31.34,11.33,64.18,19.00,64.89,53.88,70.21,59.00
27-May,0.34,0.25,0.48,0.40,9.70,3.63,24.42,1.00,34.52,6.25,54.25,20.00,67.28,37.42,85.42,59.00
28-May,0.33,0.23,0.44,0.80,7.15,3.13,15.50,8.00,26.98,11.13,58.13,34.00,68.90,55.88,79.79,44.00
29-May,0.28,0.24,0.39,0.70,3.69,1.96,5.00,17.00,26.62,5.92,51.13,41.00,67.86,63.04,78.50,39.00
30-May,0.32,0.20,0.43,0.60,9.43,2.50,14.21,10.00,19.99,3.71,38.96,29.00,63.08,54.38,77.54,61.00
31-May,0.37,0.30,0.48,0.60,11.75,6.75,17.08,15.00,17.53,3.88,52.04,19.00,52.13,38.96,68.29,81.00
