DAY,SO2MEAN,SO2MIN,SO2MAX,SO220,SO221,COMEAN,COMIN,COMAX,CO20,CO21,O3MEAN,O3MIN,O3MAX,OE20,O321,NOMEAN,NOMIN,NOMAX,NO20,NO21,N02MEAN,NO2MIN,NO2MAX,NO220,NO221,BENMEAN,BENMIN,BENMAX,BEN20,BEN21,e
13-May,9.3,7.8,11.8,5.9,6.9,1.6,1,2.2,1.4,1.3,6.1,2.3,10.1,4,5.8,100.3,59.8,170.5,101.7,75,93.1,78.2,122,104,82.5,9.7,7.5,11.9,5.4,2.8,
14-May,9.4,7.7,11.4,5,6.3,1.3,1.2,1.5,1.4,1.2,7.3,2.7,11.5,3.4,6.5,84.3,62.1,103.1,100.2,59.7,90.5,80,102.5,111.7,80.9,6.6,5.3,7.9,5.4,2.1,
15-May,9.9,8.3,13.7,6.4,6.2,1.1,0.5,1.6,2.1,1.3,12,1.6,35,2.8,3.2,78,38.5,111.9,148.3,71.9,83.1,62.6,93.6,122,83.6,5.3,2.9,8.4,9.6,2.8,
16-May,8.9,5,14.7,7,5.9,1.1,0.3,1.8,2.2,0.8,17.6,1.7,53.2,2.3,12.1,78.6,17.6,132.1,139.8,30,80,49,92.3,132.6,66.5,5.6,1.7,9.2,10.2,1.4,
17-May,8.4,2.5,15.8,4.8,5.8,1.3,0.8,1.6,1.4,1.4,9.8,1.8,22.5,6.7,5.6,85,57.5,118.3,72.5,70.8,91.2,73.9,98.5,118.8,89.3,5.9,3.8,8.5,5.8,3.3,
18-May,8.4,2,15.9,5.3,5.7,1.1,0.5,1.6,1.3,1.2,13.6,1.5,29.6,7.1,5.3,76.8,37.5,122.8,80.9,69.3,78.8,58,95.9,132.5,78,5.2,2.5,8.5,5.6,2.4,
19-May,7.5,2.1,13.5,5.2,6.4,1.1,0.5,1.7,1.2,1.5,17.1,6.5,47.3,5.8,1.9,62.7,32.9,86,72.4,85.4,82.1,64.8,96.1,120.1,93.8,5.2,2.3,6.8,4.6,2.8,
20-May,7.5,3.1,10.2,5.8,6.1,1.2,0.6,1.6,1.1,1.3,10.7,2.8,18,3.5,5.1,81.6,37.1,102,81.8,50.8,90.6,59.8,109.2,94.1,80.8,5.5,3.9,6.9,4,2.6,
21-May,6.7,2,9.8,5.8,5,0.6,0.4,0.7,0.8,1,18.3,2.7,26.8,12,14.9,47.6,12.9,102.3,52.5,36.3,68.4,46.7,99.8,78.5,73.7,2.7,2.4,3.1,2.6,1.7,
22-May,6.7,2,9,2.8,5,0.8,0.7,0.9,0.2,1.3,17.3,2.5,36.4,45.6,5.3,62,38.7,115,7,54.9,84.9,70,110.5,32,89.8,3.5,2.8,4,0.7,2.5,
23-May,7.2,2.7,9.6,5.4,5.5,1.3,1.1,1.6,0.7,1.2,10.9,5.6,18.8,27.7,8.8,81.4,62.7,96.9,37.5,45,97.4,85.4,109.2,69,100,6.2,5.6,7.3,1.8,2.3,
24-May,8.5,3.2,13.5,2.4,7.3,1.6,1.5,1.7,0.7,1.7,6.1,2.6,10.1,23.2,1.2,92.1,58.5,105.4,29.3,100.6,100.8,88.8,112.4,78,103.8,7.5,7.2,7.9,2,5.1,
25-May,8,2.9,11.1,2.4,7.8,1.3,1,1.6,0.5,0.9,6.7,4.3,8,33.9,6.5,75.5,55.8,112.7,21.8,56.6,92.2,74.5,108.8,60,78.9,5.9,4.9,7.5,1.6,2.6,
26-May,7.4,3.2,10.5,2,8.4,1,0.5,1.4,0.5,1.4,11.1,4.3,19.4,28.6,1.4,56.7,16.7,78.7,34.3,83.3,91.4,69.8,104.1,51.5,106.5,4.6,2.9,5.5,1.5,3.8,
27-May,6.4,2.3,9.3,2.2,8.8,0.8,0.2,1.4,0.9,1.3,19,8.6,30.8,18.2,0,52.9,7.8,84.2,65,76.1,78.1,41.3,97.2,73.3,108.3,4.7,3.9,5.4,2.9,3.3,
28-May,6,2.3,8.6,3,9,0.7,0.3,1.3,1.1,1.1,17.1,4.8,28.4,20.3,6,50.4,14,94.8,83,63.1,74.9,37.5,101.8,79.7,92.3,3.6,2.1,5.1,3.4,2.8,
29-May,5.7,2.5,8.1,4.6,7.4,0.7,0.4,1.3,1.3,0.9,20,6.4,37.9,17.4,6.2,43.9,14.8,65.1,95.8,35.5,72.6,50.9,93.5,84.4,81.3,2.9,1.9,4.6,4.1,2,
30-May,5.8,2.8,8.1,4.4,7.6,1.3,0.7,1.7,1,0.9,8.9,3.1,19.2,25.8,0,84.6,36.1,108.4,64.1,36.3,92.6,65.8,110.8,82.2,80.1,6.1,3.6,7.3,3.4,2.3,
31-May,5.9,3.3,9,4.8,8.6,1.4,0.6,1.9,0.8,1,8.2,3,22.7,27.3,11.9,91.5,27.5,135.4,49.2,54.1,94.2,65.8,113.3,78.8,85.4,6.1,3.4,8.2,2.4,2.5,
