DAY,COMEAN,COMIN,COMAX,CO20,C021,O3MEAN,O3MIN,O3MAX,O320,O321,NOMEAN,NOMIN,NOMAX,NO20,NO21,N02MEAN,NO2MIN,NO2MAX,NO220,N0221
15-May,0.4,0.3,0.4,0.8,0.3,56,49,69,44,44,7,5,9,33,7,28,17,39,70,41
16-May,0.3,0.3,0.3,0.9,0.2,60,34,88,70,67,4,2,6,18,1,23,10,38,53,20
17-May,0.4,0.3,0.5,0.4,0.2,48,14,72,79,59,7,3,14,6,4,29,15,52,44,30
18-May,0.4,0.3,0.4,0.2,0.2,61,59,63,72,61,6,3,12,8,3,26,19,35,61,29
19-May,0.3,0.3,0.4,0.1,0.3,69,56,84,64,55,5,3,8,5,10,24,14,34,57,41
20-May,0.4,0.4,0.4,0.1,0.3,54,44,69,59,75,11,8,13,7,3,41,32,57,41,23
21-May,0.3,0.3,0.4,0.3,0.2,56,49,69,80,80,6,4,11,2,1,30,18,48,19,16
22-May,0.4,0.2,0.5,0.3,0.3,46,30,61,79,72,15,3,26,1,3,38,11,66,9,27
23-May,0.4,0.3,0.4,0.8,0.3,57,50,64,75,77,11,6,16,3,2,39,35,44,21,32
24-May,0.3,0.3,0.4,1,0.4,71,57,78,86,56,5,2,7,1,14,32,27,38,18,58
25-May,0.3,0.3,0.4,0.6,0.4,68,54,78,75,67,7,2,16,1,8,28,16,39,20,48
26-May,0.3,0.3,0.3,0.5,0.3,70,69,70,59,64,3,2,4,1,6,31,25,36,19,51
27-May,0.3,0.2,0.4,0.4,0.3,67,37,85,59,67,6,4,10,1,7,38,18,68,20,49
28-May,0.3,0.2,0.4,0.8,0,67,56,79,44,0,7,3,16,8,0,30,13,50,34,0
29-May,0.3,0.2,0.4,0.7,0,70,65,79,39,0,3,2,4,17,0,23,11,31,41,0
30-May,0.4,0.3,0.4,0.6,0,61,58,63,61,0,12,10,14,10,0,35,30,41,29,0
31-May,0.4,0.4,0.5,0.6,0,51,46,57,81,0,13,12,17,15,0,41,36,48,19,0
