DAY,CO20,C021,COMEAN,COMIN,COMAX,NO20,NO21,NOMEAN,NOMIN,NOMAX,NO220,NO221,NO2MEAN,NO2MIN,NO2MAX,O320,O321,O3MEAN,03MIN,03MAX,SO220,SO221,SO2MEAN,SO2MIN,SO2MAX
16-Apr,0.2,0.3,0.5,0.4,0.7,6,13,27,13,44,10,23,42,26,59,53,65,45,40,51,2,0,6,2,9
17-Apr,0.2,0.3,0.5,0.4,0.7,7,8,35,13,66,16,21,42,22,56,52,63,49,25,73,4,0,12,5,27
18-Apr,0.2,0.2,0.7,0.5,0.9,9,7,42,26,57,17,27,48,30,57,35,45,45,32,60,3,0,10,4,26
19-Apr,0.2,0.2,0.7,0.5,1.1,6,9,35,18,62,11,27,45,22,59,38,56,47,34,67,2,0,6,2,13
20-Apr,0.1,0.1,0.5,0.3,0.6,5,8,27,15,37,9,15,41,23,55,43,95,49,38,65,2,0,6,2,7
21-Apr,0.2,0.1,0.5,0.4,0.7,5,9,21,20,21,8,23,35,26,45,26,81,60,53,68,2,0,4,2,8
22-Apr,0.2,0.2,0.5,0.4,0.6,5,10,27,16,43,7,30,42,28,57,41,69,60,43,68,2,0,6,4,9
23-Apr,0.2,0.3,0.5,0.3,0.7,6,13,29,10,47,9,40,47,24,71,54,60,56,34,71,2,0,6,4,7
24-Apr,0.2,0.2,0.5,0.1,0.7,5,9,37,6,53,10,22,59,18,79,53,61,48,18,74,2,0,7,3,14
25-Apr,0.2,0.2,0.5,0.2,0.8,8,10,35,8,70,17,16,50,19,81,39,70,45,18,68,3,0,9,4,13
26-Apr,0.1,0.3,0.5,0.2,0.8,5,14,34,7,49,11,38,49,16,81,48,53,57,38,73,2,0,7,3,9
27-Apr,0.2,0.2,0.7,0.2,1.1,15,14,47,13,71,17,29,55,24,89,28,63,49,32,58,2,0,8,4,12
28-Apr,0.2,0.3,0.7,0.4,1.5,11,10,41,18,80,20,28,54,32,66,24,56,45,7,66,2,0,8,3,12
29-Apr,0.2,0.4,0.6,0.3,1.1,9,9,34,13,73,17,44,47,39,55,28,31,57,43,80,2,0,8,5,11
30-Apr,0.1,0.3,0.5,0.3,0.7,5,28,20,14,26,10,40,38,22,56,23,38,59,48,64,2,0,6,3,9
1-May,0.1,0.4,0.4,0.1,0.6,5,20,15,8,25,10,46,30,16,45,29,36,78,59,95,2,0,5,3,7
2-May,0.1,0.5,0.5,0.1,0.8,6,10,23,6,33,10,37,41,13,64,34,52,67,56,80,2,0,6,3,8
3-May,0.1,0.4,0.4,0.1,0.8,5,11,18,4,33,6,36,39,13,65,26,40,67,51,84,2,0,6,3,11
4-May,0.3,0.2,0.4,0.2,0.7,7,11,23,10,32,12,24,47,24,72,28,56,52,48,57,2,0,7,3,12
5-May,0.2,0.2,0.4,0.3,0.6,7,14,19,16,22,13,26,37,27,50,45,61,53,44,63,2,0,5,2,9
6-May,0.3,0.2,0.4,0.2,0.6,8,24,17,16,17,17,24,33,27,43,34,63,53,46,62,2,0,4,3,7
7-May,0.2,0.3,0.4,0.2,0.6,7,19,19,11,30,13,35,32,24,46,31,40,60,38,72,2,0,5,3,8
8-May,0.3,0.2,0.5,0.3,0.7,7,14,26,16,40,15,31,41,29,64,33,57,52,32,66,2,0,5,3,10
9-May,0.3,0.2,0.4,0.3,0.5,9,10,25,15,37,20,12,36,25,45,39,79,54,48,63,2,0,4,3,8
10-May,0.3,0.2,0.4,0.3,0.4,8,10,18,13,24,21,21,34,24,43,23,75,58,49,70,2,0,5,3,7
11-May,0.3,0.3,0.4,0.3,0.5,8,12,23,20,28,14,33,38,31,45,13,63,48,21,66,2,0,5,3,8
12-May,0.3,0.2,0.4,0.4,0.5,9,14,20,16,24,14,40,37,32,44,4,61,37,20,56,2,0,4,2,8
13-May,0.5,0.2,0.3,0.3,0.4,24,22,20,17,26,20,26,41,27,51,6,65,45,17,72,3,0,4,3,4
14-May,0.6,0.1,0.4,0.2,0.5,20,29,24,13,33,26,22,38,26,49,5,70,48,17,58,2,0,5,2,10
15-May,0.8,0.2,0.4,0.3,0.5,34,29,23,16,31,24,36,40,29,54,3,45,42,18,53,3,0,6,3,7
16-May,0.8,0.2,0.4,0.2,0.6,34,12,21,11,28,19,21,38,23,63,3,65,47,21,73,3,0,5,3,6
17-May,0.5,0.2,0.4,0.2,0.5,13,20,22,10,34,16,24,43,23,64,3,62,47,18,72,2,0,7,4,10
18-May,0.5,0.2,0.5,0.3,0.7,18,15,29,10,47,19,24,40,24,64,3,65,43,19,66,2,0,5,4,8
19-May,0.4,0.3,0.5,0.2,0.8,11,15,26,13,43,17,39,39,25,55,3,49,48,24,61,2,0,4,2,5
20-May,0.3,0.2,0.4,0.3,0.5,10,21,21,15,30,11,20,40,31,55,3,75,48,19,69,0,0,5,3,8
21-May,0.2,0.2,0.5,0.3,0.7,6,10,25,17,37,8,23,38,28,50,3,67,52,19,79,0,0,5,3,8
22-May,0.3,0.2,0.4,0.2,0.6,6,9,23,9,48,8,27,41,20,66,7,69,57,13,80,0,0,4,2,7
23-May,0.3,0.2,0.5,0.4,1.1,7,6,23,16,35,15,30,41,34,47,24,76,49,24,68,0,0,6,3,8
24-May,0.2,0.3,0.4,0.3,0.8,6,11,21,13,33,14,55,41,29,53,50,49,47,28,63,0,0,6,4,10
25-May,0.4,0.1,0.5,0.1,0.9,7,19,21,7,35,14,47,37,18,53,8,53,53,28,74,2,0,5,3,11
26-May,0.3,0.1,0.4,0.3,0.4,7,23,16,12,19,11,41,37,28,47,17,60,56,25,75,2,0,5,3,7
27-May,0.3,0.1,0.5,0.3,0.6,7,13,24,13,43,14,37,41,31,69,27,70,54,14,70,2,0,4,2,7
28-May,0.4,0.1,0.5,0.3,0.7,11,12,23,17,42,19,29,35,26,49,24,71,49,18,66,2,0,4,2,6
29-May,0.5,0.1,0.4,0.3,0.6,18,14,20,16,26,22,20,35,30,40,14,79,51,21,67,2,0,4,3,5
30-May,0.5,0.1,0.4,0.3,0.5,17,10,21,14,28,19,23,36,29,46,31,69,51,20,70,3,0,4,3,5
31-May,0.3,0.1,0.5,0.4,0.6,10,18,30,16,48,18,22,42,33,54,32,74,39,16,67,2,0,5,3,6
